"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.09.2023","47,55","47,42","47,70","47,11","10,73M","0,34%"
"14.09.2023","47,39","47,49","47,92","47,19","7,27M","0,28%"
"13.09.2023","47,26","47,37","47,89","47,14","7,36M","-0,08%"
"12.09.2023","47,30","47,19","47,62","47,09","7,65M","-0,17%"
"11.09.2023","47,38","47,08","47,54","46,85","7,17M","1,59%"
"08.09.2023","46,64","46,85","47,02","46,30","7,71M","-0,30%"
"06.09.2023","46,78","47,22","47,45","46,77","7,07M","-0,68%"
"05.09.2023","47,10","47,35","47,80","47,01","7,62M","-0,36%"
"04.09.2023","47,27","47,50","47,70","47,18","3,60M","-0,46%"
"02.09.2023","47,49","47,49","47,49","47,49","","0,15%"
"01.09.2023","47,42","47,23","47,70","47,19","5,52M","0,68%"
"31.08.2023","47,10","47,95","47,98","47,02","13,16M","-1,57%"
"30.08.2023","47,85","48,70","48,88","47,80","5,72M","-1,44%"
"29.08.2023","48,55","48,92","49,23","48,34","9,77M","0,56%"
"28.08.2023","48,28","47,16","48,42","46,96","7,55M","2,88%"
"25.08.2023","46,93","47,61","47,70","46,41","8,95M","-1,30%"
"24.08.2023","47,55","48,10","48,10","47,33","6,35M","-1,31%"
"23.08.2023","48,18","48,11","48,48","47,63","7,73M","0,44%"
"22.08.2023","47,97","47,20","48,08","47,08","7,79M","0,73%"
"21.08.2023","47,62","48,00","48,05","47,31","7,83M","-0,36%"
"18.08.2023","47,79","47,58","48,12","47,33","10,28M","0,40%"
"17.08.2023","47,60","47,51","47,70","47,18","9,15M","0,93%"
"16.08.2023","47,16","46,81","47,73","46,81","11,49M","0,86%"
"15.08.2023","46,76","47,14","47,34","46,68","8,67M","-0,53%"
"14.08.2023","47,01","47,69","47,69","46,94","6,54M","-0,99%"
"11.08.2023","47,48","47,18","47,66","47,04","8,61M","1,09%"
"10.08.2023","46,97","47,24","47,30","46,74","12,42M","0,51%"
"09.08.2023","46,73","47,00","47,15","46,51","7,58M","-0,55%"
"08.08.2023","46,99","47,23","47,39","46,36","11,86M","-0,70%"
"07.08.2023","47,32","47,62","48,00","47,19","5,71M","-0,17%"
"04.08.2023","47,40","47,50","47,96","47,05","11,46M","-0,52%"
"03.08.2023","47,65","47,90","47,98","47,34","8,34M","0,17%"
"02.08.2023","47,57","47,26","47,76","47,10","5,57M","0,44%"
"01.08.2023","47,36","47,92","48,03","46,94","12,65M","-1,72%"
"31.07.2023","48,19","47,60","48,32","47,48","10,37M","1,92%"
"28.07.2023","47,28","47,13","47,57","46,86","7,20M","1,16%"
"27.07.2023","46,74","47,72","47,76","46,65","11,65M","-2,05%"
"26.07.2023","47,72","47,41","47,80","47,07","12,37M","0,85%"
"25.07.2023","47,32","48,26","48,26","47,30","10,73M","-0,53%"
"24.07.2023","47,57","48,24","48,85","47,18","17,81M","-1,96%"
"21.07.2023","48,52","47,95","48,85","47,95","10,07M","1,19%"
"20.07.2023","47,95","47,56","48,05","47,40","6,74M","1,10%"
"19.07.2023","47,43","48,40","48,40","47,32","8,08M","-1,74%"
"18.07.2023","48,27","48,10","48,45","47,84","4,51M","0,33%"
"17.07.2023","48,11","47,64","48,19","47,46","5,35M","0,88%"
"14.07.2023","47,69","47,96","48,71","47,41","13,08M","-0,67%"
"13.07.2023","48,01","47,86","48,38","47,59","7,01M","0,95%"
"12.07.2023","47,56","48,89","48,89","47,36","12,16M","-1,61%"
"11.07.2023","48,34","49,00","49,02","47,88","12,33M","-1,43%"
"10.07.2023","49,04","49,99","50,05","48,79","8,85M","-1,84%"
"07.07.2023","49,96","49,04","50,32","49,04","11,50M","1,94%"
"06.07.2023","49,01","49,53","49,58","48,64","9,54M","-1,47%"
"05.07.2023","49,74","50,00","50,01","49,40","5,61M","-0,66%"
"04.07.2023","50,07","50,39","50,45","49,83","3,76M","-0,64%"
"03.07.2023","50,39","49,56","50,50","49,52","12,98M","2,00%"
"30.06.2023","49,40","50,40","50,80","48,93","13,96M","-1,30%"
"29.06.2023","50,05","49,56","50,20","49,22","8,25M","0,93%"
"28.06.2023","49,59","50,11","50,20","49,23","7,72M","-1,22%"
"27.06.2023","50,20","51,17","51,48","49,87","12,88M","-1,84%"
"26.06.2023","51,14","50,71","51,38","50,46","8,41M","0,24%"
"23.06.2023","51,02","51,11","51,14","50,56","6,72M","0,04%"
"22.06.2023","51,00","51,64","51,86","50,66","8,92M","-1,90%"
"21.06.2023","51,99","50,20","51,99","50,14","13,66M","3,15%"
"20.06.2023","50,40","50,29","50,46","49,95","8,51M","-0,02%"
"19.06.2023","50,41","49,57","50,47","49,52","5,88M","1,86%"
"16.06.2023","49,49","49,84","49,91","49,25","15,16M","-0,74%"
"15.06.2023","49,86","48,90","50,24","48,70","20,92M","2,05%"
"14.06.2023","48,86","48,80","49,00","48,10","13,02M","0,49%"
"13.06.2023","48,62","49,18","49,49","48,39","13,24M","-1,72%"
"12.06.2023","49,47","48,07","49,74","47,97","38,48M","3,62%"
"09.06.2023","47,74","45,74","47,74","45,74","18,39M","4,88%"
"07.06.2023","45,52","45,73","45,89","45,52","11,09M","-0,04%"
"06.06.2023","45,54","45,08","45,89","44,96","11,44M","1,16%"
"05.06.2023","45,02","44,60","45,29","44,15","13,59M","0,33%"
"02.06.2023","44,87","44,71","44,95","44,18","10,46M","0,29%"
