"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.09.2023","23,81","23,81","23,97","23,54","3,04M","0,85%"
"14.09.2023","23,61","23,08","23,88","23,07","5,78M","5,17%"
"13.09.2023","22,45","22,56","22,69","22,41","2,06M","-0,66%"
"12.09.2023","22,60","22,58","22,76","22,46","3,35M","0,18%"
"11.09.2023","22,56","22,90","22,90","22,32","11,05M","-1,40%"
"09.09.2023","22,88","22,88","22,88","22,88","","0,09%"
"08.09.2023","22,86","22,88","22,96","22,68","2,61M","-2,22%"
"06.09.2023","23,38","23,65","23,67","23,21","2,02M","-1,14%"
"05.09.2023","23,65","23,89","23,90","23,47","5,32M","-1,25%"
"04.09.2023","23,95","23,70","24,05","23,60","2,85M","1,91%"
"02.09.2023","23,50","23,50","23,50","23,50","","-0,55%"
"01.09.2023","23,63","22,94","23,68","22,92","4,48M","5,02%"
"31.08.2023","22,50","22,78","22,81","22,43","2,47M","-0,22%"
"30.08.2023","22,55","22,55","22,79","22,42","2,00M","0,36%"
"29.08.2023","22,47","21,98","22,52","21,95","2,25M","3,07%"
"28.08.2023","21,80","21,52","21,94","21,52","1,32M","1,35%"
"25.08.2023","21,51","21,60","21,67","21,40","1,29M","-0,28%"
"24.08.2023","21,57","21,85","21,89","21,54","1,53M","-1,95%"
"23.08.2023","22,00","21,90","22,00","21,80","2,36M","1,29%"
"22.08.2023","21,72","21,56","21,82","21,43","5,83M","1,83%"
"21.08.2023","21,33","21,32","21,45","21,24","1,90M","0,09%"
"18.08.2023","21,31","21,38","21,63","21,30","1,67M","-0,93%"
"17.08.2023","21,51","21,71","21,77","21,48","3,05M","1,41%"
"16.08.2023","21,21","21,43","21,62","21,18","5,48M","-0,93%"
"15.08.2023","21,41","22,06","22,08","21,41","3,17M","-2,19%"
"14.08.2023","21,89","22,54","22,58","21,77","4,47M","-3,65%"
"11.08.2023","22,72","22,83","22,94","22,52","3,20M","-0,26%"
"10.08.2023","22,78","23,00","23,02","22,66","2,46M","-0,65%"
"09.08.2023","22,93","22,83","23,18","22,73","2,79M","-0,56%"
"08.08.2023","23,06","23,00","23,29","22,82","2,83M","-1,11%"
"07.08.2023","23,32","23,20","23,36","22,96","1,70M","0,26%"
"04.08.2023","23,26","23,08","23,59","23,08","2,21M","0,39%"
"03.08.2023","23,17","23,05","23,33","22,96","1,70M","0,30%"
"02.08.2023","23,10","23,20","23,20","22,91","2,36M","-1,28%"
"01.08.2023","23,40","23,37","23,49","23,15","2,72M","-0,38%"
"31.07.2023","23,49","23,17","23,57","23,11","3,10M","1,86%"
"28.07.2023","23,06","23,70","23,88","22,98","3,89M","-3,03%"
