"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.09.2023","12,80","12,76","13,07","12,72","20,43M","0,79%"
"14.09.2023","12,70","12,63","12,75","12,59","6,02M","1,03%"
"13.09.2023","12,57","12,52","12,75","12,43","7,81M","0,48%"
"12.09.2023","12,51","12,44","12,53","12,39","3,47M","0,97%"
"11.09.2023","12,39","12,21","12,42","12,18","5,91M","1,89%"
"09.09.2023","12,16","12,16","12,16","12,16","","0,00%"
"08.09.2023","12,16","12,14","12,26","12,08","7,86M","0,41%"
"06.09.2023","12,11","12,28","12,31","12,11","4,22M","-1,30%"
"05.09.2023","12,27","12,38","12,50","12,26","5,81M","-1,21%"
"04.09.2023","12,42","12,48","12,55","12,37","2,65M","-0,48%"
"02.09.2023","12,48","12,48","12,48","12,48","","0,16%"
"01.09.2023","12,46","12,36","12,70","12,28","12,49M","1,05%"
"31.08.2023","12,33","12,61","12,64","12,29","9,70M","-2,22%"
"30.08.2023","12,61","12,78","12,90","12,59","13,12M","1,53%"
"29.08.2023","12,42","12,39","12,42","12,28","5,90M","0,73%"
"28.08.2023","12,33","12,27","12,33","12,16","4,40M","0,74%"
"25.08.2023","12,24","12,30","12,34","12,14","10,02M","-0,33%"
"24.08.2023","12,28","12,23","12,34","12,17","9,71M","0,49%"
"23.08.2023","12,22","12,24","12,32","12,09","10,15M","-0,24%"
"22.08.2023","12,25","12,34","12,36","12,08","13,63M","0,33%"
"21.08.2023","12,21","12,00","12,29","11,78","18,77M","1,67%"
"18.08.2023","12,01","11,99","12,10","11,83","12,23M","0,00%"
"17.08.2023","12,01","12,00","12,11","11,94","14,88M","0,33%"
"16.08.2023","11,97","12,00","12,05","11,85","11,54M","0,08%"
"15.08.2023","11,96","12,38","12,44","11,91","8,09M","-3,24%"
"14.08.2023","12,36","12,42","12,48","12,35","6,28M","-0,24%"
"11.08.2023","12,39","12,22","12,44","12,22","8,39M","1,72%"
"10.08.2023","12,18","12,17","12,29","12,07","8,86M","0,33%"
"09.08.2023","12,14","11,99","12,14","11,94","8,17M","1,08%"
"08.08.2023","12,01","11,99","12,07","11,87","8,24M","-0,08%"
"07.08.2023","12,02","12,20","12,26","11,93","12,75M","-1,31%"
"04.08.2023","12,18","12,55","12,58","12,10","10,09M","-2,33%"
"03.08.2023","12,47","12,67","12,78","12,36","6,15M","-1,27%"
"02.08.2023","12,63","12,62","12,73","12,47","4,97M","0,00%"
"01.08.2023","12,63","12,64","12,75","12,51","5,72M","-0,32%"
"31.07.2023","12,67","12,67","12,77","12,60","4,48M","0,56%"
"28.07.2023","12,60","12,60","12,62","12,47","2,97M","0,64%"
"27.07.2023","12,52","12,79","12,82","12,49","5,54M","-1,88%"
"26.07.2023","12,76","12,67","12,78","12,60","3,54M","0,71%"
"25.07.2023","12,67","12,82","12,87","12,63","7,79M","-0,08%"
"24.07.2023","12,68","12,45","12,82","12,45","7,79M","0,88%"
"21.07.2023","12,57","12,39","12,59","12,33","15,00M","1,53%"
"20.07.2023","12,38","12,42","12,45","12,23","7,83M","-0,16%"
"19.07.2023","12,40","12,45","12,49","12,29","5,41M","-0,40%"
"18.07.2023","12,45","12,59","12,61","12,39","6,15M","-1,03%"
"17.07.2023","12,58","12,54","12,67","12,53","7,88M","0,00%"
"14.07.2023","12,58","12,68","12,71","12,50","4,91M","-1,02%"
"13.07.2023","12,71","12,56","12,75","12,47","4,31M","1,76%"
"12.07.2023","12,49","12,57","12,66","12,46","6,25M","-0,08%"
"11.07.2023","12,50","12,50","12,53","12,27","10,78M","-0,32%"
"10.07.2023","12,54","12,57","12,64","12,42","3,78M","-0,48%"
"07.07.2023","12,60","12,57","12,68","12,43","10,40M","0,80%"
"06.07.2023","12,50","12,61","12,61","12,34","11,05M","-1,42%"
"05.07.2023","12,68","12,66","12,72","12,54","10,27M","-0,31%"
"04.07.2023","12,72","12,76","12,81","12,60","4,70M","-0,86%"
"03.07.2023","12,83","12,89","12,95","12,73","6,72M","-0,23%"
"30.06.2023","12,86","12,69","12,94","12,65","11,51M","1,74%"
"29.06.2023","12,64","12,55","12,71","12,51","8,14M","0,96%"
"28.06.2023","12,52","12,64","12,69","12,48","10,48M","-0,79%"
"27.06.2023","12,62","12,65","12,94","12,46","8,81M","-0,16%"
"26.06.2023","12,64","12,80","12,80","12,54","7,26M","-2,09%"
"23.06.2023","12,91","12,45","13,12","12,45","15,17M","3,36%"
"22.06.2023","12,49","12,87","12,96","12,45","9,47M","-3,10%"
"21.06.2023","12,89","12,74","12,93","12,68","9,82M","1,18%"
"20.06.2023","12,74","12,55","12,75","12,48","9,75M","1,68%"
"19.06.2023","12,53","12,43","12,58","12,42","5,68M","0,97%"
