"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.09.2023","16,69","16,60","16,69","16,03","666,80K","0,66%"
"14.09.2023","16,58","16,63","17,08","16,42","775,70K","-0,06%"
"13.09.2023","16,59","16,02","16,72","16,02","1,20M","3,56%"
"12.09.2023","16,02","15,43","16,03","15,36","796,40K","3,76%"
"11.09.2023","15,44","15,22","15,50","15,20","603,20K","1,45%"
"09.09.2023","15,22","15,22","15,22","15,22","","0,33%"
"08.09.2023","15,17","15,24","15,25","15,12","267,60K","0,13%"
"06.09.2023","15,15","15,22","15,37","15,12","361,20K","-0,39%"
"05.09.2023","15,21","15,25","15,40","15,07","308,60K","-0,26%"
"04.09.2023","15,25","15,41","15,55","15,24","311,90K","-1,04%"
"02.09.2023","15,41","15,41","15,41","15,41","","-0,96%"
"01.09.2023","15,56","15,14","15,56","14,89","937,30K","4,71%"
"31.08.2023","14,86","15,20","15,30","14,75","443,60K","-2,24%"
"30.08.2023","15,20","15,24","15,40","15,16","347,20K","0,26%"
"29.08.2023","15,16","15,14","15,32","14,90","561,20K","0,86%"
"28.08.2023","15,03","14,65","15,03","14,65","1,26M","2,95%"
"25.08.2023","14,60","14,69","14,79","14,52","526,80K","-0,14%"
"24.08.2023","14,62","14,75","14,92","14,56","579,70K","-0,95%"
"23.08.2023","14,76","14,72","14,83","14,51","530,90K","0,34%"
"22.08.2023","14,71","14,65","14,86","14,51","387,10K","0,41%"
"21.08.2023","14,65","14,82","14,94","14,59","926,30K","-1,15%"
"18.08.2023","14,82","14,70","14,95","14,52","629,70K","1,02%"
"17.08.2023","14,67","15,02","15,05","14,51","751,50K","-2,20%"
"16.08.2023","15,00","15,02","15,16","14,86","499,10K","0,27%"
"15.08.2023","14,96","15,14","15,14","14,83","501,10K","0,07%"
"14.08.2023","14,95","14,92","15,23","14,69","691,70K","0,34%"
"11.08.2023","14,90","15,02","15,14","14,64","514,40K","-0,80%"
"10.08.2023","15,02","15,10","15,12","14,90","454,30K","-0,66%"
"09.08.2023","15,12","15,23","15,34","14,93","423,70K","-0,72%"
"08.08.2023","15,23","15,42","15,61","15,19","398,30K","-2,06%"
"07.08.2023","15,55","15,70","15,82","15,37","450,10K","-0,96%"
"04.08.2023","15,70","15,60","15,94","15,60","552,60K","0,45%"
"03.08.2023","15,63","15,47","15,77","15,40","494,80K","2,22%"
"02.08.2023","15,29","15,26","15,50","15,25","531,00K","0,72%"
"01.08.2023","15,18","14,88","15,51","14,88","1,04M","2,22%"
"31.07.2023","14,85","14,78","14,99","14,77","503,40K","0,47%"
"28.07.2023","14,78","14,56","14,80","14,50","501,00K","1,51%"
"27.07.2023","14,56","14,48","14,65","14,44","686,10K","0,69%"
"26.07.2023","14,46","14,75","14,83","14,40","1,03M","-1,70%"
"25.07.2023","14,71","14,70","14,93","14,65","597,60K","0,41%"
"24.07.2023","14,65","14,35","14,74","14,35","585,10K","1,17%"
"21.07.2023","14,48","14,65","14,66","14,30","1,18M","-1,23%"
"20.07.2023","14,66","14,60","14,75","14,55","335,90K","0,48%"
"19.07.2023","14,59","14,58","14,60","14,40","523,50K","0,21%"
"18.07.2023","14,56","14,71","14,75","14,40","697,60K","-0,55%"
"17.07.2023","14,64","14,60","14,68","14,49","500,50K","0,27%"
"14.07.2023","14,60","14,74","14,80","14,50","576,30K","-0,68%"
"13.07.2023","14,70","14,83","14,87","14,66","409,60K","-0,47%"
"12.07.2023","14,77","14,91","14,99","14,70","415,30K","-0,40%"
"11.07.2023","14,83","14,88","14,95","14,68","577,70K","-0,27%"
"10.07.2023","14,87","15,15","15,20","14,82","414,40K","-1,20%"
"07.07.2023","15,05","15,17","15,42","15,00","513,10K","0,13%"
"06.07.2023","15,03","15,24","15,36","15,00","421,80K","-1,70%"
"05.07.2023","15,29","15,16","15,50","15,09","492,50K","0,59%"
"04.07.2023","15,20","15,25","15,37","15,02","286,90K","-0,33%"
"03.07.2023","15,25","15,20","15,49","15,06","587,30K","1,19%"
"30.06.2023","15,07","14,80","15,21","14,79","778,50K","2,52%"
"29.06.2023","14,70","14,61","14,81","14,46","395,00K","0,82%"
"28.06.2023","14,58","14,66","14,72","14,50","459,10K","-0,55%"
"27.06.2023","14,66","14,78","14,96","14,55","466,80K","-1,48%"
"26.06.2023","14,88","15,00","15,14","14,83","458,60K","-0,33%"
"23.06.2023","14,93","14,59","15,27","14,59","818,40K","2,26%"
"22.06.2023","14,60","14,69","14,82","14,46","546,90K","-0,07%"
"21.06.2023","14,61","14,93","15,00","14,45","1,04M","-2,14%"
"20.06.2023","14,93","15,06","15,12","14,86","428,10K","-0,80%"
