"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.03.2013","14,35","14,10","14,43","14,03","11,24M","1,85%"
"28.02.2013","14,09","13,91","14,18","13,89","6,60M","0,71%"
"27.02.2013","13,99","13,53","13,99","13,52","7,96M","3,02%"
"26.02.2013","13,58","13,48","13,75","13,37","5,99M","-0,07%"
"25.02.2013","13,59","13,69","13,83","13,51","5,81M","-1,24%"
"22.02.2013","13,76","13,59","13,80","13,44","8,60M","1,70%"
"21.02.2013","13,53","13,48","13,58","13,21","16,18M","4,08%"
"20.02.2013","13,00","13,15","13,20","12,86","5,87M","-0,91%"
"19.02.2013","13,12","12,92","13,17","12,91","6,22M","1,86%"
"18.02.2013","12,88","13,00","13,21","12,83","3,73M","-1,30%"
"15.02.2013","13,05","12,73","13,13","12,65","9,55M","2,51%"
"14.02.2013","12,73","12,68","12,73","12,58","4,06M","-0,24%"
"13.02.2013","12,76","12,84","13,10","12,66","4,70M","0,16%"
"08.02.2013","12,74","12,68","12,87","12,64","5,97M","0,71%"
"07.02.2013","12,65","12,79","13,15","12,62","6,18M","-1,17%"
"06.02.2013","12,80","12,94","12,94","12,54","7,38M","-0,54%"
"05.02.2013","12,87","12,76","13,08","12,71","4,91M","0,86%"
"04.02.2013","12,76","12,94","12,94","12,66","4,43M","-1,85%"
"01.02.2013","13,00","13,05","13,11","12,86","4,58M","-0,38%"
"31.01.2013","13,05","13,34","13,34","12,86","7,70M","-1,66%"
"30.01.2013","13,27","13,38","13,48","13,09","7,81M","-0,82%"
"29.01.2013","13,38","13,20","13,41","13,06","5,58M","1,21%"
"28.01.2013","13,22","13,63","13,63","12,94","12,01M","-2,72%"
"24.01.2013","13,59","13,65","13,76","13,45","4,97M","-0,37%"
"23.01.2013","13,64","13,64","13,82","13,52","4,99M","-0,58%"
"22.01.2013","13,72","13,84","13,95","13,64","6,13M","-1,08%"
"21.01.2013","13,87","14,03","14,07","13,72","4,48M","-1,00%"
"18.01.2013","14,01","14,04","14,16","13,69","8,04M","-2,30%"
"17.01.2013","14,34","14,31","14,52","14,24","7,79M","-0,21%"
"16.01.2013","14,37","14,15","14,37","14,12","3,46M","0,63%"
