"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"11.03.2013","9,06","9,04","9,09","8,93","21,29M","0,00%"
"08.03.2013","9,06","8,87","9,07","8,84","20,39M","1,46%"
"07.03.2013","8,93","8,87","8,99","8,75","20,85M","1,02%"
"06.03.2013","8,84","8,91","8,97","8,76","22,26M","-0,11%"
"05.03.2013","8,85","8,84","8,98","8,77","19,41M","0,23%"
"04.03.2013","8,83","8,67","8,84","8,63","16,38M","1,15%"
"01.03.2013","8,73","8,54","8,77","8,54","18,55M","1,16%"
"28.02.2013","8,63","8,58","8,67","8,51","17,18M","0,94%"
"27.02.2013","8,55","8,58","8,58","8,36","20,99M","0,59%"
"26.02.2013","8,50","8,61","8,64","8,37","28,83M","-2,19%"
"25.02.2013","8,69","8,74","8,81","8,67","22,92M","-0,23%"
"22.02.2013","8,71","8,61","8,71","8,56","24,32M","1,99%"
"21.02.2013","8,54","8,58","8,70","8,47","20,68M","-1,04%"
"20.02.2013","8,63","8,83","8,85","8,57","22,12M","-2,27%"
"19.02.2013","8,83","8,97","9,00","8,83","25,59M","-2,21%"
"18.02.2013","9,03","8,85","9,03","8,80","16,47M","1,69%"
"15.02.2013","8,88","8,50","8,88","8,50","32,01M","4,35%"
"14.02.2013","8,51","8,62","8,62","8,46","14,57M","-1,28%"
"13.02.2013","8,62","8,77","8,78","8,62","14,79M","-0,92%"
"08.02.2013","8,70","8,53","8,70","8,46","20,10M","1,99%"
"07.02.2013","8,53","8,61","8,70","8,44","29,02M","-0,81%"
"06.02.2013","8,60","8,76","8,78","8,53","16,04M","-1,71%"
"05.02.2013","8,75","8,73","8,97","8,61","23,45M","0,00%"
"04.02.2013","8,75","8,83","8,87","8,65","17,22M","-1,35%"
"01.02.2013","8,87","8,86","8,94","8,77","15,43M","-0,56%"
"31.01.2013","8,92","8,72","8,92","8,71","18,67M","2,29%"
"30.01.2013","8,72","8,77","8,87","8,72","22,90M","-1,02%"
"29.01.2013","8,81","8,91","8,94","8,76","29,01M","-1,23%"
"28.01.2013","8,92","9,13","9,15","8,88","24,82M","-3,04%"
"24.01.2013","9,20","9,20","9,28","9,12","14,75M","-0,22%"
"23.01.2013","9,22","9,27","9,33","9,21","13,30M","-1,50%"
"22.01.2013","9,36","9,27","9,37","9,21","15,71M","0,86%"
"21.01.2013","9,28","9,30","9,36","9,26","6,51M","-0,43%"
"18.01.2013","9,32","9,30","9,33","9,22","13,94M","0,32%"
"17.01.2013","9,29","9,12","9,31","9,10","15,68M","1,64%"
"16.01.2013","9,14","9,10","9,14","8,95","13,22M","0,55%"
"15.01.2013","9,09","9,20","9,20","9,08","14,09M","-1,52%"
"14.01.2013","9,23","9,14","9,28","9,09","15,97M","1,65%"
"11.01.2013","9,08","9,06","9,11","9,00","17,97M","-0,33%"
"10.01.2013","9,11","9,30","9,30","9,05","21,98M","-1,41%"
"09.01.2013","9,24","9,14","9,25","9,07","15,70M","1,32%"
"08.01.2013","9,12","9,10","9,20","9,05","14,79M","0,33%"
"07.01.2013","9,09","9,10","9,17","9,01","18,98M","-0,44%"
"04.01.2013","9,13","9,26","9,26","8,96","32,22M","-1,72%"
"03.01.2013","9,29","8,77","9,30","8,77","41,67M","5,93%"
"02.01.2013","8,77","8,72","8,87","8,71","21,04M","2,33%"
"28.12.2012","8,57","8,58","8,65","8,52","15,88M","0,71%"
"27.12.2012","8,51","8,74","8,74","8,51","13,87M","-1,85%"
"26.12.2012","8,67","8,85","8,91","8,66","13,18M","-2,14%"
"21.12.2012","8,86","8,63","8,86","8,63","15,24M","1,26%"
"20.12.2012","8,75","8,81","8,88","8,69","15,32M","-1,02%"
"19.12.2012","8,84","8,64","8,84","8,59","17,62M","2,43%"
"18.12.2012","8,63","8,61","8,68","8,56","9,57M","0,12%"
"17.12.2012","8,62","8,63","8,75","8,58","16,87M","0,00%"
"14.12.2012","8,62","8,67","8,70","8,56","14,77M","-0,46%"
"13.12.2012","8,66","8,54","8,75","8,52","22,25M","0,70%"
"12.12.2012","8,60","8,51","8,63","8,49","18,41M","0,12%"
