"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","75,05","74,34","75,05","74,26","37,68K","1,42%"
"02.09.2023","74,00","74,00","74,00","74,00","","-0,07%"
"01.09.2023","74,05","74,18","74,90","73,82","39,53K","-0,18%"
"31.08.2023","74,18","72,60","74,47","72,45","43,12K","2,18%"
"30.08.2023","72,60","70,15","72,73","70,15","57,99K","3,79%"
"29.08.2023","69,95","70,60","70,60","69,74","49,46K","-0,85%"
"28.08.2023","70,55","71,55","71,87","70,30","47,66K","-1,44%"
"25.08.2023","71,58","72,19","72,74","70,54","40,49K","-0,82%"
"24.08.2023","72,17","72,15","72,49","71,83","40,19K","0,15%"
"23.08.2023","72,06","72,34","72,73","72,00","34,06K","-0,36%"
"22.08.2023","72,32","72,95","73,19","72,24","51,59K","-1,20%"
"21.08.2023","73,20","73,56","73,90","73,01","28,97K","-0,38%"
"18.08.2023","73,48","74,39","74,80","72,87","54,39K","-1,06%"
"17.08.2023","74,27","75,15","75,31","74,11","60,58K","-0,99%"
"16.08.2023","75,01","74,76","75,25","74,60","34,48K","0,33%"
"15.08.2023","74,76","74,52","74,97","74,37","53,15K","0,32%"
"14.08.2023","74,52","75,10","75,42","74,41","36,01K","-0,64%"
"11.08.2023","75,00","74,97","75,00","74,50","31,57K","0,19%"
"10.08.2023","74,86","74,26","75,00","74,07","26,66K","0,81%"
"09.08.2023","74,26","74,00","74,50","73,89","23,41K","0,51%"
"08.08.2023","73,88","75,45","75,45","73,56","42,12K","-2,98%"
"07.08.2023","76,15","72,60","77,55","72,60","132,30K","4,95%"
"04.08.2023","72,56","72,18","72,60","72,03","32,56K","0,53%"
"03.08.2023","72,18","72,29","72,29","71,83","29,54K","0,68%"
"02.08.2023","71,69","72,20","72,30","71,55","40,18K","-0,53%"
"01.08.2023","72,07","72,23","72,45","71,95","59,38K","-0,22%"
"31.07.2023","72,23","72,17","72,34","71,80","41,70K","0,29%"
"28.07.2023","72,02","71,95","72,35","71,79","29,00K","0,10%"
"27.07.2023","71,95","71,96","72,15","71,70","21,23K","-0,03%"
"26.07.2023","71,97","72,10","72,60","71,86","31,27K","-0,11%"
"25.07.2023","72,05","72,80","73,18","71,71","39,44K","-0,76%"
"24.07.2023","72,60","73,47","73,48","71,98","48,19K","-1,20%"
"21.07.2023","73,48","73,44","73,94","73,00","33,56K","0,00%"
"20.07.2023","73,48","72,98","73,49","72,66","25,46K","0,69%"
"19.07.2023","72,98","72,55","73,00","72,48","25,94K","0,59%"
"18.07.2023","72,55","72,39","72,69","72,11","25,84K","0,18%"
"17.07.2023","72,42","71,84","72,42","71,42","33,70K","0,84%"
"14.07.2023","71,82","71,64","72,18","71,29","52,66K","0,25%"
"13.07.2023","71,64","71,76","72,09","71,15","24,29K","-0,17%"
"12.07.2023","71,76","72,42","72,57","71,51","39,05K","-0,90%"
"11.07.2023","72,41","72,50","72,55","71,85","32,30K","-0,12%"
"10.07.2023","72,50","71,84","72,62","71,04","48,17K","0,15%"
"07.07.2023","72,39","72,14","72,59","72,04","29,60K","0,37%"
"06.07.2023","72,12","72,13","72,67","72,10","26,46K","0,03%"
"05.07.2023","72,10","72,58","72,97","72,03","31,15K","-0,66%"
"04.07.2023","72,58","72,60","72,90","72,11","29,99K","0,21%"
"03.07.2023","72,43","71,81","72,80","71,73","44,92K","0,99%"
"30.06.2023","71,72","71,00","71,85","70,94","33,31K","1,13%"
"29.06.2023","70,92","71,11","71,25","70,70","26,40K","-0,25%"
"28.06.2023","71,10","69,61","71,34","69,40","42,79K","1,95%"
"27.06.2023","69,74","69,33","69,80","69,01","40,28K","0,59%"
"26.06.2023","69,33","68,50","69,34","68,20","45,32K","1,75%"
"23.06.2023","68,14","68,24","68,44","67,85","45,36K","0,06%"
"22.06.2023","68,10","68,76","69,00","68,05","36,58K","-0,95%"
"21.06.2023","68,75","69,26","69,45","68,56","37,41K","-0,74%"
"20.06.2023","69,26","69,15","69,60","68,91","34,11K","0,17%"
"19.06.2023","69,14","69,45","69,77","68,06","47,65K","-0,48%"
"16.06.2023","69,47","69,44","69,74","69,33","35,82K","-0,07%"
"15.06.2023","69,52","68,46","69,62","68,46","38,29K","1,58%"
"14.06.2023","68,44","68,06","68,95","67,95","24,67K","0,54%"
"13.06.2023","68,07","68,26","68,28","67,79","26,62K","-0,28%"
"12.06.2023","68,26","68,26","68,86","68,06","27,78K","0,01%"
"09.06.2023","68,25","68,70","69,20","67,90","46,86K","-1,52%"
"07.06.2023","69,30","69,75","69,75","69,09","33,89K","-0,72%"
"06.06.2023","69,80","69,70","69,80","69,30","26,86K","0,14%"
"05.06.2023","69,70","69,40","69,80","69,20","30,05K","0,46%"
"02.06.2023","69,38","69,40","69,60","68,85","27,42K","-0,10%"
"01.06.2023","69,45","67,50","69,73","67,40","43,64K","2,89%"
"31.05.2023","67,50","67,43","67,72","67,11","24,61K","0,10%"
"30.05.2023","67,43","67,27","67,90","67,25","24,27K","0,24%"
"29.05.2023","67,27","68,12","68,12","67,02","29,21K","-1,25%"
"26.05.2023","68,12","67,62","68,40","67,50","30,60K","0,92%"
"25.05.2023","67,50","67,50","67,97","67,41","22,53K","0,15%"
"24.05.2023","67,40","68,04","68,05","67,00","27,51K","-0,96%"
"23.05.2023","68,05","68,00","68,40","67,61","38,03K","0,01%"
"22.05.2023","68,04","68,45","68,70","67,61","28,52K","-0,58%"
"19.05.2023","68,44","68,30","68,99","68,02","24,45K","0,01%"
"18.05.2023","68,43","68,68","68,99","68,35","27,88K","-0,36%"
"17.05.2023","68,68","68,35","68,80","68,10","37,65K","0,48%"
"16.05.2023","68,35","67,43","68,35","67,28","31,01K","1,67%"
"15.05.2023","67,23","65,92","67,95","65,70","39,05K","2,44%"
"12.05.2023","65,63","66,70","66,70","65,29","37,25K","-1,65%"
"11.05.2023","66,73","67,18","67,37","66,50","28,11K","-0,60%"
"10.05.2023","67,13","67,31","67,55","66,69","23,28K","-0,07%"
"09.05.2023","67,18","67,54","67,99","67,15","29,99K","-1,35%"
"08.05.2023","68,10","67,99","68,40","67,86","29,07K","0,21%"
"06.05.2023","67,96","67,96","67,96","67,96","","0,01%"
"05.05.2023","67,95","68,00","68,30","67,76","25,45K","-0,07%"
"04.05.2023","68,00","68,08","68,33","67,74","27,97K","-0,12%"
"03.05.2023","68,08","67,73","68,47","67,65","32,26K","0,01%"
"02.05.2023","68,07","67,57","68,50","67,18","53,44K","0,41%"
"28.04.2023","67,79","66,86","67,80","66,86","30,51K","1,39%"
"27.04.2023","66,86","66,62","66,98","66,50","33,13K","0,36%"
"26.04.2023","66,62","66,72","66,97","66,50","29,99K","-0,10%"
"25.04.2023","66,69","66,58","66,90","66,50","36,16K","0,17%"
"24.04.2023","66,58","66,56","67,47","66,50","46,64K","-0,16%"
"20.04.2023","66,69","64,45","67,00","64,30","48,32K","3,27%"
"19.04.2023","64,58","64,77","65,36","64,43","32,99K","-0,29%"
"18.04.2023","64,77","63,89","65,00","63,70","38,02K","1,38%"
"17.04.2023","63,89","62,52","64,00","62,30","44,74K","2,06%"
"14.04.2023","62,60","62,41","62,90","62,20","32,95K","0,30%"
"13.04.2023","62,41","62,20","62,58","62,03","25,96K","0,48%"
"12.04.2023","62,11","61,90","62,70","61,90","28,86K","0,49%"
"11.04.2023","61,81","62,49","62,68","61,80","40,57K","-1,81%"
"10.04.2023","62,95","63,11","63,40","62,10","38,39K","-0,27%"
"06.04.2023","63,12","63,00","63,91","62,70","30,04K","0,19%"
"05.04.2023","63,00","62,39","63,56","62,26","38,55K","0,99%"
"04.04.2023","62,38","62,11","62,65","62,03","34,40K","0,56%"
"03.04.2023","62,03","61,83","62,40","61,74","40,93K","0,32%"
