"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","30,02","29,61","30,09","29,61","8,64K","-0,33%"
"02.09.2023","30,12","30,12","30,12","30,12","","0,00%"
"01.09.2023","30,12","30,30","30,30","29,51","28,07K","-1,21%"
"31.08.2023","30,49","31,20","31,73","30,00","19,82K","-1,90%"
"30.08.2023","31,08","31,35","31,46","30,90","13,47K","-1,68%"
"29.08.2023","31,61","29,80","31,75","29,71","48,05K","7,33%"
"28.08.2023","29,45","30,10","30,10","29,45","7,20K","-0,20%"
"25.08.2023","29,51","29,40","29,96","29,40","5,72K","0,48%"
"24.08.2023","29,37","30,40","30,40","29,37","15,21K","-3,07%"
"23.08.2023","30,30","29,94","30,49","29,90","14,80K","1,20%"
"22.08.2023","29,94","30,16","30,46","29,88","10,21K","-2,00%"
"21.08.2023","30,55","30,50","30,96","30,50","10,03K","-1,45%"
"18.08.2023","31,00","31,80","31,80","30,25","66,96K","-4,85%"
"17.08.2023","32,58","33,65","33,65","32,40","14,94K","-3,32%"
"16.08.2023","33,70","33,69","34,20","33,69","3,80K","0,06%"
"15.08.2023","33,68","34,40","34,47","33,39","8,58K","-0,77%"
"14.08.2023","33,94","34,00","34,50","33,53","18,52K","1,65%"
"11.08.2023","33,39","33,33","33,80","33,25","14,66K","0,30%"
"10.08.2023","33,29","33,62","33,75","33,25","6,74K","-0,98%"
"09.08.2023","33,62","34,49","34,50","33,55","6,50K","-1,20%"
"08.08.2023","34,03","33,85","34,49","33,42","33,74K","2,22%"
"07.08.2023","33,29","33,49","33,49","32,88","8,19K","-0,60%"
"04.08.2023","33,49","33,48","33,49","33,12","5,66K","0,66%"
"03.08.2023","33,27","33,50","33,59","32,82","13,62K","1,71%"
"02.08.2023","32,71","32,95","33,49","32,47","6,55K","-0,73%"
"01.08.2023","32,95","32,02","32,95","32,02","11,82K","1,98%"
"31.07.2023","32,31","32,60","32,92","32,00","10,00K","-1,52%"
"28.07.2023","32,81","32,36","32,81","32,25","5,23K","1,39%"
"27.07.2023","32,36","33,00","33,04","32,25","9,29K","-1,55%"
"26.07.2023","32,87","32,60","32,95","32,47","5,31K","0,80%"
"25.07.2023","32,61","32,72","32,97","32,56","8,87K","-0,18%"
"24.07.2023","32,67","33,25","33,25","32,52","23,61K","-2,33%"
"21.07.2023","33,45","33,67","33,74","33,25","5,04K","-0,68%"
"20.07.2023","33,68","33,90","34,13","33,35","11,01K","-0,50%"
"19.07.2023","33,85","33,71","34,05","33,48","11,00K","0,80%"
"18.07.2023","33,58","33,69","34,05","33,18","17,58K","-0,33%"
"17.07.2023","33,69","34,10","34,77","33,59","33,43K","-1,23%"
"14.07.2023","34,11","35,13","35,75","34,00","22,27K","-4,69%"
"13.07.2023","35,79","34,79","35,97","34,41","15,46K","5,23%"
"12.07.2023","34,01","34,53","34,82","34,00","11,42K","-1,53%"
"11.07.2023","34,54","34,74","35,06","34,02","13,24K","-0,60%"
"10.07.2023","34,75","34,55","34,89","34,15","15,04K","1,37%"
"07.07.2023","34,28","34,88","34,88","34,28","15,16K","-1,72%"
"06.07.2023","34,88","34,87","35,11","34,50","14,12K","0,37%"
"05.07.2023","34,75","34,82","35,00","34,60","7,65K","-1,50%"
"04.07.2023","35,28","34,97","35,48","34,60","42,33K","2,38%"
"03.07.2023","34,46","33,90","35,00","33,48","29,43K","1,44%"
"30.06.2023","33,97","34,69","35,19","33,44","36,09K","-1,48%"
"29.06.2023","34,48","34,75","34,78","34,40","22,95K","1,11%"
"28.06.2023","34,10","34,74","34,74","33,77","10,15K","-0,73%"
"27.06.2023","34,35","34,34","34,60","33,94","13,41K","1,87%"
"26.06.2023","33,72","34,40","34,40","33,50","18,90K","-3,16%"
"23.06.2023","34,82","34,14","35,00","33,32","39,12K","1,99%"
"22.06.2023","34,14","34,59","34,59","33,55","22,23K","-1,76%"
"21.06.2023","34,75","32,39","34,88","32,39","73,94K","10,32%"
"20.06.2023","31,50","30,00","31,84","29,75","19,40K","4,65%"
"19.06.2023","30,10","29,82","30,76","29,22","17,28K","0,94%"
"16.06.2023","29,82","29,11","29,86","28,64","23,92K","2,54%"
"15.06.2023","29,08","28,99","29,50","28,41","24,23K","-1,62%"
"14.06.2023","29,56","29,56","29,96","29,56","11,76K","0,00%"
"13.06.2023","29,56","30,00","30,34","29,50","9,03K","-0,40%"
"12.06.2023","29,68","30,20","30,60","29,52","23,48K","-3,64%"
"09.06.2023","30,80","31,19","31,19","30,30","12,31K","0,46%"
"07.06.2023","30,66","31,30","31,30","30,38","18,79K","-2,23%"
"06.06.2023","31,36","29,89","31,36","29,55","14,47K","5,41%"
"05.06.2023","29,75","31,61","31,64","29,50","34,45K","-6,86%"
"02.06.2023","31,94","31,71","33,60","31,56","29,75K","0,73%"
"01.06.2023","31,71","32,39","32,65","31,52","10,11K","-2,70%"
"31.05.2023","32,59","32,39","32,59","31,73","35,91K","0,00%"
"30.05.2023","32,59","32,18","32,94","32,05","19,51K","1,27%"
"29.05.2023","32,18","31,67","32,69","31,67","16,90K","2,22%"
"26.05.2023","31,48","31,54","31,54","31,01","11,00K","-0,19%"
"25.05.2023","31,54","30,80","31,75","30,77","21,57K","1,12%"
"24.05.2023","31,19","32,18","32,18","30,60","15,46K","-3,14%"
"23.05.2023","32,20","31,50","32,45","31,50","7,13K","1,58%"
"22.05.2023","31,70","31,73","31,73","31,20","5,52K","-0,91%"
"19.05.2023","31,99","31,73","31,99","31,30","7,78K","0,79%"
"18.05.2023","31,74","31,88","33,52","31,01","14,08K","-0,44%"
"17.05.2023","31,88","31,09","31,88","31,00","14,08K","2,54%"
"16.05.2023","31,09","31,22","31,51","30,60","9,14K","-0,96%"
"15.05.2023","31,39","31,00","31,88","30,80","31,84K","3,77%"
"12.05.2023","30,25","31,32","31,32","30,25","13,65K","-3,78%"
