"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","12,29","12,15","12,44","12,02","1,19M","1,65%"
"02.09.2023","12,09","12,09","12,09","12,09","","0,00%"
"01.09.2023","12,09","11,81","12,09","11,71","685,70K","3,07%"
"31.08.2023","11,73","12,02","12,03","11,68","490,90K","-2,98%"
"30.08.2023","12,09","12,23","12,34","12,09","250,50K","-1,14%"
"29.08.2023","12,23","11,97","12,31","11,90","873,10K","3,12%"
"28.08.2023","11,86","11,94","12,00","11,75","1,11M","-0,75%"
"25.08.2023","11,95","12,25","12,26","11,86","908,20K","-2,21%"
"24.08.2023","12,22","12,30","12,34","12,13","579,70K","-0,81%"
"23.08.2023","12,32","12,34","12,40","12,24","784,60K","0,41%"
"22.08.2023","12,27","12,23","12,38","12,13","430,90K","0,25%"
"21.08.2023","12,24","12,55","12,57","12,20","491,80K","-2,39%"
"18.08.2023","12,54","12,47","12,64","12,26","567,80K","-0,71%"
"17.08.2023","12,63","12,98","12,98","12,63","598,40K","-2,02%"
"16.08.2023","12,89","12,93","12,99","12,79","525,70K","-1,15%"
"15.08.2023","13,04","13,03","13,05","12,77","426,40K","0,08%"
"14.08.2023","13,03","12,84","13,14","12,76","853,10K","0,23%"
"11.08.2023","13,00","13,78","13,78","12,62","1,84M","-5,39%"
"10.08.2023","13,74","13,59","13,77","13,46","461,20K","1,10%"
"09.08.2023","13,59","13,73","13,73","13,47","310,00K","-0,66%"
"08.08.2023","13,68","13,79","13,83","13,53","207,90K","-0,87%"
"07.08.2023","13,80","13,98","14,00","13,62","239,40K","-1,00%"
"04.08.2023","13,94","13,90","14,08","13,81","331,50K","0,29%"
"03.08.2023","13,90","13,84","14,27","13,77","313,40K","0,80%"
"02.08.2023","13,79","13,43","13,80","13,43","542,00K","2,15%"
"01.08.2023","13,50","13,50","13,56","13,37","618,80K","0,00%"
"31.07.2023","13,50","13,61","13,72","13,50","905,10K","0,00%"
"28.07.2023","13,50","13,67","13,67","13,37","475,90K","0,00%"
"27.07.2023","13,50","13,76","13,76","13,46","461,10K","-1,39%"
"26.07.2023","13,69","13,84","13,84","13,56","303,50K","-0,94%"
"25.07.2023","13,82","13,91","14,08","13,75","271,70K","0,51%"
"24.07.2023","13,75","13,77","13,91","13,68","356,90K","0,22%"
"21.07.2023","13,72","13,63","13,90","13,60","233,00K","1,11%"
"20.07.2023","13,57","13,47","13,70","13,34","469,50K","1,72%"
