"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"22.10.2020","15,90","16,12","16,34","15,68","5,67M","-1,36%"
"21.10.2020","16,12","16,04","16,30","15,97","4,02M","0,29%"
"20.10.2020","16,08","16,05","16,14","15,85","3,14M","0,48%"
"19.10.2020","16,00","16,07","16,36","15,91","3,28M","-0,21%"
"16.10.2020","16,03","16,00","16,27","15,95","4,65M","0,19%"
"15.10.2020","16,00","15,75","16,08","15,61","3,10M","0,38%"
"14.10.2020","15,94","15,82","16,04","15,70","3,47M","1,20%"
"13.10.2020","15,75","15,33","15,86","15,22","4,81M","3,00%"
"09.10.2020","15,30","15,24","15,56","15,18","2,96M","0,50%"
"08.10.2020","15,22","15,07","15,34","15,00","2,40M","1,13%"
"07.10.2020","15,05","14,85","15,22","14,85","2,22M","1,43%"
"06.10.2020","14,84","15,14","15,30","14,71","2,20M","-1,80%"
"05.10.2020","15,11","14,71","15,16","14,70","1,97M","2,94%"
"02.10.2020","14,68","14,78","15,02","14,65","2,71M","-1,52%"
"01.10.2020","14,90","15,03","15,18","14,64","2,38M","-0,09%"
"30.09.2020","14,92","14,90","15,24","14,86","3,25M","1,47%"
"29.09.2020","14,70","14,82","15,02","14,67","2,27M","-0,92%"
"28.09.2020","14,84","15,25","15,34","14,82","2,14M","-1,95%"
"25.09.2020","15,13","14,95","15,24","14,79","1,93M","0,80%"
"24.09.2020","15,01","14,93","15,25","14,81","3,51M","1,12%"
"23.09.2020","14,85","14,77","14,95","14,56","3,01M","0,09%"
"22.09.2020","14,83","14,77","14,93","14,60","1,82M","0,59%"
"21.09.2020","14,75","14,87","14,99","14,58","2,84M","-2,80%"
"18.09.2020","15,17","15,21","15,42","15,08","2,57M","-0,07%"
"17.09.2020","15,18","14,68","15,21","14,62","2,02M","2,24%"
"16.09.2020","14,85","15,01","15,05","14,75","3,21M","-1,35%"
"15.09.2020","15,05","14,94","15,15","14,76","3,16M","1,68%"
"14.09.2020","14,80","14,99","15,13","14,72","2,35M","-0,78%"
"11.09.2020","14,92","14,62","15,00","14,58","5,19M","4,35%"
"10.09.2020","14,30","14,53","14,65","14,24","2,81M","-1,60%"
"09.09.2020","14,53","14,58","14,77","14,49","2,28M","0,46%"
"08.09.2020","14,46","14,50","14,57","14,37","1,74M","-1,74%"
"04.09.2020","14,72","14,57","14,78","14,34","2,40M","1,19%"
"03.09.2020","14,55","14,81","14,81","14,36","2,39M","-2,15%"
"02.09.2020","14,87","15,02","15,17","14,62","1,44M","-0,97%"
"01.09.2020","15,01","14,68","15,10","14,66","2,15M","2,71%"
"31.08.2020","14,62","14,80","14,85","14,56","1,62M","-1,61%"
"28.08.2020","14,86","14,55","14,96","14,55","2,73M","2,31%"
"27.08.2020","14,52","14,89","15,01","14,44","2,73M","-2,39%"
"26.08.2020","14,88","14,96","15,20","14,75","2,62M","-1,02%"
"25.08.2020","15,03","15,15","15,21","14,86","1,86M","-0,77%"
"24.08.2020","15,15","15,29","15,31","15,08","1,28M","-0,20%"
"21.08.2020","15,18","15,35","15,39","14,95","2,20M","-1,78%"
"20.08.2020","15,45","15,12","15,56","15,05","2,90M","0,85%"
"19.08.2020","15,32","15,38","15,60","15,22","3,55M","-0,52%"
"18.08.2020","15,40","15,22","15,52","15,15","3,93M","3,14%"
"17.08.2020","14,93","14,78","15,10","14,70","3,74M","1,44%"
"14.08.2020","14,72","14,39","14,77","14,34","2,88M","2,38%"
"13.08.2020","14,38","14,62","14,79","14,30","2,19M","-1,64%"
"12.08.2020","14,62","14,57","14,80","14,42","2,51M","1,66%"
"11.08.2020","14,38","14,88","14,93","14,31","2,16M","-2,52%"
"10.08.2020","14,75","14,37","14,77","14,34","2,80M","2,78%"
"07.08.2020","14,35","14,51","14,53","14,20","2,11M","-1,51%"
"06.08.2020","14,57","14,75","14,79","14,49","1,61M","-0,88%"
"05.08.2020","14,70","14,52","14,88","14,52","2,71M","3,08%"
"04.08.2020","14,26","14,09","14,48","14,07","3,77M","-0,74%"
"03.08.2020","14,37","14,68","14,74","14,30","2,54M","0,44%"
"31.07.2020","14,30","14,22","14,49","14,06","2,04M","0,44%"
"30.07.2020","14,24","14,63","14,81","14,24","3,51M","-2,66%"
"29.07.2020","14,63","14,35","14,67","14,32","2,72M","2,59%"
"28.07.2020","14,26","14,50","14,54","14,15","2,90M","-1,65%"
"27.07.2020","14,50","13,81","14,60","13,78","4,30M","5,56%"
"24.07.2020","13,74","13,55","13,88","13,52","3,91M","0,90%"
"23.07.2020","13,61","13,80","13,94","13,54","2,71M","-1,04%"
"22.07.2020","13,76","13,56","13,85","13,55","6,32M","1,60%"
"21.07.2020","13,54","13,72","13,72","13,39","2,49M","-1,28%"
"20.07.2020","13,72","13,56","13,90","13,50","3,17M","-4,21%"
"17.07.2020","14,32","14,07","14,38","14,07","1,76M","1,99%"
"16.07.2020","14,04","14,15","14,34","14,00","1,70M","-1,82%"
"15.07.2020","14,30","14,40","14,53","14,05","2,64M","0,00%"
"14.07.2020","14,30","13,52","14,39","13,40","5,15M","6,72%"
"13.07.2020","13,40","13,35","13,74","13,35","3,96M","1,59%"
"10.07.2020","13,19","12,88","13,32","12,82","4,02M","2,01%"
"09.07.2020","12,93","13,07","13,09","12,85","1,75M","-0,92%"
"08.07.2020","13,05","12,92","13,11","12,81","2,27M","1,71%"
"07.07.2020","12,83","12,82","12,92","12,74","1,28M","0,23%"
"06.07.2020","12,80","12,71","12,92","12,68","2,15M","1,27%"
"03.07.2020","12,64","12,55","12,71","12,52","749,42K","0,08%"
"02.07.2020","12,63","12,52","12,69","12,48","2,04M","1,45%"
"01.07.2020","12,45","12,82","12,87","12,32","4,58M","-2,89%"
"30.06.2020","12,82","12,64","12,99","12,61","3,02M","0,47%"
"29.06.2020","12,76","12,79","12,92","12,61","1,91M","-0,23%"
"26.06.2020","12,79","12,86","13,13","12,70","1,81M","-1,46%"
