"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","104,31","104,55","104,70","104,31","45,72K","0,01%"
"02.09.2023","104,30","104,30","104,30","104,30","","0,01%"
"01.09.2023","104,29","104,11","104,79","103,76","49,04K","0,50%"
"31.08.2023","103,77","104,16","104,79","102,81","51,33K","-0,37%"
"30.08.2023","104,16","103,31","104,39","103,31","67,11K","0,57%"
"29.08.2023","103,57","103,09","104,94","102,90","112,27K","0,53%"
"28.08.2023","103,02","103,30","103,47","102,94","45,30K","-0,56%"
"25.08.2023","103,60","103,18","103,94","103,18","42,59K","0,41%"
"24.08.2023","103,18","102,99","104,33","102,98","63,19K","-0,06%"
"23.08.2023","103,24","102,89","103,24","102,20","110,61K","0,34%"
"22.08.2023","102,89","103,00","103,18","102,52","66,16K","-0,10%"
"21.08.2023","102,99","102,81","103,45","102,64","83,37K","0,18%"
"18.08.2023","102,81","102,49","102,95","102,07","77,25K","0,56%"
"17.08.2023","102,24","102,50","102,50","102,00","67,74K","-0,25%"
"16.08.2023","102,50","102,75","102,75","102,12","134,26K","-0,39%"
"15.08.2023","102,90","103,00","103,09","102,85","47,91K","-0,19%"
"14.08.2023","103,10","103,20","103,43","102,97","81,84K","-0,10%"
"11.08.2023","103,20","102,80","103,49","102,78","105,14K","0,42%"
"10.08.2023","102,77","104,22","104,22","102,77","72,60K","-2,11%"
"09.08.2023","104,99","104,90","105,04","104,80","52,79K","0,09%"
"08.08.2023","104,90","105,00","105,10","104,69","49,52K","-0,23%"
"07.08.2023","105,14","105,00","105,39","104,41","67,73K","-0,93%"
"04.08.2023","106,13","106,49","107,00","106,09","46,88K","-0,21%"
"03.08.2023","106,35","106,50","106,92","105,99","38,60K","0,35%"
"02.08.2023","105,98","106,48","106,50","105,67","45,82K","0,05%"
"01.08.2023","105,93","106,65","106,68","105,60","52,96K","-0,35%"
"31.07.2023","106,30","107,46","108,26","106,14","45,69K","-1,10%"
"28.07.2023","107,48","105,82","107,70","105,82","199,69K","1,58%"
"27.07.2023","105,81","106,86","106,92","105,12","32,66K","-0,70%"
"26.07.2023","106,56","106,50","106,98","105,95","249,28K","0,15%"
"25.07.2023","106,40","106,30","106,50","105,78","36,27K","0,38%"
"24.07.2023","106,00","105,15","106,25","104,13","41,78K","0,81%"
"21.07.2023","105,15","103,47","105,75","103,16","51,40K","1,61%"
"20.07.2023","103,48","103,12","103,48","102,94","36,02K","0,31%"
"19.07.2023","103,16","103,10","103,45","102,98","71,81K","-0,28%"
"18.07.2023","103,45","103,55","103,99","103,00","62,81K","-0,10%"
"17.07.2023","103,55","103,99","104,00","103,21","51,84K","-0,43%"
"14.07.2023","104,00","104,00","104,21","103,81","85,31K","0,10%"
"13.07.2023","103,90","104,26","104,50","103,61","50,41K","-0,35%"
"12.07.2023","104,27","104,31","104,96","103,80","55,26K","0,09%"
"11.07.2023","104,18","104,50","104,75","103,97","56,11K","-0,31%"
"10.07.2023","104,50","104,12","104,78","103,90","65,81K","0,00%"
"07.07.2023","104,50","104,40","104,80","103,40","124,05K","0,29%"
"06.07.2023","104,20","104,04","104,63","103,50","47,15K","0,20%"
"05.07.2023","103,99","104,62","105,20","103,99","68,05K","-0,58%"
"04.07.2023","104,60","103,90","104,88","103,00","78,10K","0,81%"
"03.07.2023","103,76","102,64","103,85","102,64","103,84K","1,09%"
"30.06.2023","102,64","101,68","102,80","101,31","288,83K","1,52%"
"29.06.2023","101,10","101,38","101,69","101,10","272,67K","-0,28%"
"28.06.2023","101,38","101,49","101,68","101,03","59,54K","-0,11%"
"27.06.2023","101,49","101,35","101,67","101,02","171,57K","0,14%"
"26.06.2023","101,35","101,49","101,49","101,00","52,58K","-0,14%"
"23.06.2023","101,49","101,00","101,50","100,96","55,81K","-0,01%"
"22.06.2023","101,50","101,45","101,79","100,50","42,06K","0,05%"
"21.06.2023","101,45","101,47","101,50","100,90","47,35K","0,36%"
"20.06.2023","101,09","101,50","101,94","101,09","46,95K","-0,40%"
"19.06.2023","101,50","101,37","101,99","101,10","50,52K","0,12%"
"16.06.2023","101,38","101,42","102,07","100,55","75,55K","-0,33%"
"15.06.2023","101,72","101,82","101,83","100,80","53,77K","-0,11%"
"14.06.2023","101,83","100,97","101,90","100,97","32,94K","0,85%"
"13.06.2023","100,97","100,50","101,30","100,36","38,37K","0,47%"
