"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.01.2013","4,41","4,40","4,46","4,35","9,26M","0,00%"
"14.01.2013","4,41","4,43","4,49","4,37","6,92M","-0,45%"
"11.01.2013","4,43","4,41","4,43","4,30","9,50M","0,45%"
"10.01.2013","4,41","4,38","4,47","4,31","10,58M","1,85%"
"09.01.2013","4,33","4,14","4,37","4,11","15,32M","5,35%"
"08.01.2013","4,11","4,24","4,25","4,09","9,77M","-2,61%"
"07.01.2013","4,22","4,38","4,39","4,10","18,62M","-3,43%"
"04.01.2013","4,37","4,58","4,58","4,33","31,37M","-4,79%"
"03.01.2013","4,59","4,58","4,65","4,55","5,58M","0,22%"
"02.01.2013","4,58","4,53","4,58","4,46","6,68M","1,78%"
"28.12.2012","4,50","4,47","4,52","4,46","6,17M","1,12%"
"27.12.2012","4,45","4,40","4,54","4,39","10,62M","0,68%"
"26.12.2012","4,42","4,63","4,63","4,35","34,61M","-4,74%"
"21.12.2012","4,64","4,61","4,65","4,53","34,57M","6,18%"
"20.12.2012","4,37","4,32","4,37","4,25","5,04M","1,39%"
"19.12.2012","4,31","4,30","4,39","4,27","6,64M","0,23%"
"18.12.2012","4,30","4,34","4,38","4,27","6,34M","-1,15%"
"17.12.2012","4,35","4,36","4,42","4,32","7,10M","-0,23%"
"14.12.2012","4,36","4,38","4,43","4,36","6,91M","-1,13%"
"13.12.2012","4,41","4,39","4,45","4,32","5,02M","-0,68%"
"12.12.2012","4,44","4,37","4,44","4,31","6,62M","1,83%"
"11.12.2012","4,36","4,35","4,40","4,32","5,32M","0,23%"
"10.12.2012","4,35","4,30","4,37","4,29","4,81M","0,23%"
"07.12.2012","4,34","4,34","4,38","4,25","4,59M","0,93%"
"06.12.2012","4,30","4,07","4,33","4,07","10,60M","5,39%"
"05.12.2012","4,08","4,28","4,28","4,05","15,23M","-3,77%"
"04.12.2012","4,24","4,35","4,46","4,22","10,78M","-2,30%"
"03.12.2012","4,34","4,47","4,48","4,30","6,28M","-0,91%"
"30.11.2012","4,38","4,35","4,41","4,31","12,73M","2,58%"
"29.11.2012","4,27","4,27","4,29","4,21","5,64M","0,71%"
"28.11.2012","4,24","4,18","4,30","4,15","17,78M","2,91%"
"27.11.2012","4,12","4,31","4,41","4,12","14,06M","-3,29%"
"26.11.2012","4,26","4,26","4,34","4,16","17,43M","0,95%"
"23.11.2012","4,22","4,08","4,27","4,04","12,63M","3,43%"
"22.11.2012","4,08","3,90","4,11","3,86","4,30M","4,62%"
"21.11.2012","3,90","3,88","3,93","3,84","7,96M","-0,26%"
"19.11.2012","3,91","3,89","3,94","3,86","3,14M","-0,26%"
"16.11.2012","3,92","4,01","4,01","3,91","6,06M","-0,51%"
"14.11.2012","3,94","4,01","4,04","3,93","4,26M","-1,50%"
"13.11.2012","4,00","3,94","4,02","3,89","9,07M","0,50%"
"12.11.2012","3,98","4,04","4,04","3,94","9,14M","-0,75%"
"09.11.2012","4,01","3,88","4,08","3,82","28,79M","3,08%"
"08.11.2012","3,89","4,08","4,11","3,88","11,66M","-4,19%"
"07.11.2012","4,06","4,12","4,14","3,97","6,93M","-1,46%"
"06.11.2012","4,12","4,14","4,18","4,06","5,94M","-0,48%"
"05.11.2012","4,14","4,13","4,16","4,10","5,87M","-2,82%"
"01.11.2012","4,26","4,16","4,26","4,16","5,56M","2,65%"
"31.10.2012","4,15","4,22","4,28","4,15","6,42M","-2,12%"
"30.10.2012","4,24","4,20","4,26","4,09","5,62M","0,95%"
"29.10.2012","4,20","4,18","4,22","4,17","2,24M","0,00%"
"26.10.2012","4,20","4,21","4,27","4,16","6,17M","-0,47%"
"25.10.2012","4,22","4,25","4,28","4,19","3,03M","-1,17%"
