"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","18,51","18,65","18,69","18,40","1,26M","0,05%"
"02.09.2023","18,50","18,50","18,50","18,50","","-0,22%"
"01.09.2023","18,54","18,10","18,71","18,01","3,72M","3,46%"
"31.08.2023","17,92","18,44","18,45","17,79","1,54M","-2,34%"
"30.08.2023","18,35","18,69","18,69","18,23","1,45M","-1,18%"
"29.08.2023","18,57","18,81","18,87","18,39","1,32M","-0,54%"
"28.08.2023","18,67","18,77","18,88","18,48","1,24M","-0,53%"
"25.08.2023","18,77","18,85","19,55","18,42","3,85M","0,54%"
"24.08.2023","18,67","18,91","19,20","18,61","2,37M","-0,53%"
"23.08.2023","18,77","19,63","19,63","18,62","2,56M","-3,69%"
"22.08.2023","19,49","19,20","20,21","19,20","4,68M","2,10%"
"21.08.2023","19,09","18,51","19,27","18,35","3,85M","3,58%"
"18.08.2023","18,43","18,30","18,50","18,19","2,30M","0,44%"
"17.08.2023","18,35","18,65","18,65","18,10","3,75M","0,05%"
"16.08.2023","18,34","17,80","18,36","17,65","3,35M","3,50%"
"15.08.2023","17,72","17,79","18,02","17,66","1,43M","-0,39%"
"14.08.2023","17,79","17,85","18,06","17,59","1,96M","0,57%"
"11.08.2023","17,69","17,84","18,00","17,56","2,72M","-0,34%"
"10.08.2023","17,75","17,90","18,06","17,73","1,26M","0,11%"
"09.08.2023","17,73","17,86","17,99","17,68","1,53M","-0,45%"
"08.08.2023","17,81","17,84","18,08","17,66","3,02M","-0,11%"
"07.08.2023","17,83","17,95","18,29","17,79","2,02M","-1,00%"
"04.08.2023","18,01","18,17","18,48","17,98","1,72M","-1,04%"
"03.08.2023","18,20","18,45","18,71","18,00","2,24M","-0,66%"
"02.08.2023","18,32","18,31","18,72","18,15","3,40M","-1,13%"
"01.08.2023","18,53","20,25","20,25","18,30","7,28M","-8,45%"
"31.07.2023","20,24","20,38","20,54","20,09","1,85M","-0,15%"
"28.07.2023","20,27","20,21","20,39","20,13","642,80K","0,20%"
"27.07.2023","20,23","20,24","20,43","20,09","1,22M","-0,25%"
"26.07.2023","20,28","20,14","20,37","19,97","1,55M","0,45%"
"25.07.2023","20,19","20,10","20,46","20,10","923,80K","0,15%"
"24.07.2023","20,16","20,30","20,38","20,11","951,50K","-0,54%"
"21.07.2023","20,27","19,91","20,40","19,91","1,20M","1,45%"
"20.07.2023","19,98","20,18","20,29","19,90","1,15M","-0,99%"
"19.07.2023","20,18","20,18","20,20","19,84","755,00K","-0,79%"
"18.07.2023","20,34","20,42","20,49","20,16","1,16M","-0,49%"
"17.07.2023","20,44","20,17","20,55","20,13","1,31M","1,09%"
"14.07.2023","20,22","20,70","20,76","20,08","1,49M","-2,69%"
"13.07.2023","20,78","20,94","21,26","20,67","1,26M","0,10%"
"12.07.2023","20,76","20,61","20,89","20,39","1,69M","0,87%"
"11.07.2023","20,58","20,54","20,68","20,11","1,89M","-0,68%"
"10.07.2023","20,72","20,62","20,90","20,51","1,04M","-0,38%"
"07.07.2023","20,80","20,35","20,83","20,17","2,57M","3,02%"
"06.07.2023","20,19","20,21","20,33","19,88","3,02M","-0,64%"
"05.07.2023","20,32","20,76","20,76","20,26","2,25M","-2,12%"
"04.07.2023","20,76","20,78","20,89","20,49","925,70K","-0,86%"
"03.07.2023","20,94","21,00","21,40","20,60","2,59M","-0,99%"
"30.06.2023","21,15","20,82","21,29","20,82","1,64M","1,78%"
"29.06.2023","20,78","20,62","20,88","20,58","1,35M","0,92%"
"28.06.2023","20,59","20,70","21,13","20,40","1,23M","-0,63%"
