"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","42,28","42,20","42,55","42,13","686,90K","0,33%"
"02.09.2023","42,14","42,14","42,14","42,14","","0,02%"
"01.09.2023","42,13","42,37","42,47","42,13","955,90K","0,02%"
"31.08.2023","42,12","42,48","42,50","41,88","1,52M","-0,54%"
"30.08.2023","42,35","42,76","42,89","42,35","1,29M","-0,40%"
"29.08.2023","42,52","42,33","42,60","42,07","1,05M","0,95%"
"28.08.2023","42,12","42,15","42,38","41,99","937,50K","0,12%"
"25.08.2023","42,07","42,00","42,28","41,79","2,11M","0,77%"
"24.08.2023","41,75","41,65","41,79","41,39","979,80K","0,68%"
"23.08.2023","41,47","41,31","41,50","41,15","1,24M","0,53%"
"22.08.2023","41,25","41,37","41,58","40,83","1,80M","-1,55%"
"21.08.2023","41,90","41,79","42,02","41,58","1,82M","0,24%"
"18.08.2023","41,80","41,56","42,04","41,46","1,12M","0,55%"
"17.08.2023","41,57","41,85","42,12","41,39","2,45M","-0,67%"
"16.08.2023","41,85","41,95","42,18","41,68","1,80M","-0,29%"
"15.08.2023","41,97","41,84","42,40","41,84","1,28M","0,10%"
"14.08.2023","41,93","41,87","42,08","41,60","1,31M","0,36%"
"11.08.2023","41,78","41,61","41,89","41,46","1,29M","0,80%"
"10.08.2023","41,45","41,54","41,96","41,45","2,19M","0,24%"
"09.08.2023","41,35","43,26","43,28","41,11","5,01M","-4,42%"
"08.08.2023","43,26","43,15","43,47","42,76","1,36M","0,02%"
"07.08.2023","43,25","43,65","43,71","43,21","1,50M","-0,48%"
"04.08.2023","43,46","43,72","44,10","43,29","1,11M","-0,62%"
"03.08.2023","43,73","44,43","44,61","43,62","1,21M","-1,38%"
"02.08.2023","44,34","44,36","44,50","44,00","1,03M","0,07%"
"01.08.2023","44,31","43,87","44,44","43,62","1,72M","0,61%"
"31.07.2023","44,04","44,49","44,56","43,96","1,12M","-0,99%"
"28.07.2023","44,48","44,30","44,67","44,22","599,10K","0,43%"
"27.07.2023","44,29","44,78","45,00","44,14","1,15M","-0,81%"
"26.07.2023","44,65","44,50","44,82","43,93","1,37M","0,11%"
"25.07.2023","44,60","45,60","45,85","44,47","1,52M","-1,85%"
"24.07.2023","45,44","44,62","45,59","44,62","1,15M","1,20%"
"21.07.2023","44,90","44,54","45,25","44,54","1,35M","0,85%"
"20.07.2023","44,52","44,55","44,74","44,27","824,30K","-0,07%"
"19.07.2023","44,55","44,65","44,80","44,29","607,60K","-0,25%"
"18.07.2023","44,66","44,63","44,78","44,38","795,30K","-0,16%"
"17.07.2023","44,73","44,72","44,95","44,52","686,40K","-0,07%"
"14.07.2023","44,76","45,10","45,90","44,56","1,01M","-0,69%"
"13.07.2023","45,07","44,60","45,37","44,45","1,10M","1,28%"
"12.07.2023","44,50","44,33","44,77","44,15","794,70K","0,50%"
"11.07.2023","44,28","44,52","44,55","43,51","1,99M","-0,72%"
"10.07.2023","44,60","44,57","45,04","44,51","602,50K","-0,22%"
"07.07.2023","44,70","44,72","45,00","44,52","1,93M","0,13%"
"06.07.2023","44,64","44,90","44,99","44,24","1,50M","-0,80%"
"05.07.2023","45,00","45,15","45,16","44,63","1,48M","-0,33%"
"04.07.2023","45,15","45,30","45,44","44,98","794,10K","-0,33%"
"03.07.2023","45,30","45,60","45,66","45,15","1,09M","-0,85%"
"30.06.2023","45,69","45,18","45,93","45,18","2,15M","1,44%"
"29.06.2023","45,04","44,82","45,23","44,63","956,70K","0,49%"
"28.06.2023","44,82","44,89","45,23","44,68","922,20K","-0,13%"
"27.06.2023","44,88","45,05","45,35","44,52","969,40K","-0,16%"
"26.06.2023","44,95","45,80","45,95","44,88","1,95M","-2,18%"
"23.06.2023","45,95","44,93","46,00","44,87","1,62M","1,84%"
"22.06.2023","45,12","45,15","45,44","44,85","1,29M","-0,42%"
"21.06.2023","45,31","45,27","45,38","44,85","1,41M","0,09%"
"20.06.2023","45,27","44,95","45,40","44,71","2,10M","0,51%"
"19.06.2023","45,04","45,20","45,32","44,86","1,52M","-0,35%"
"16.06.2023","45,20","44,79","45,54","44,69","2,89M","0,87%"
"15.06.2023","44,81","44,76","45,08","44,50","963,40K","0,07%"
"14.06.2023","44,78","44,01","44,84","43,80","2,12M","1,80%"
"13.06.2023","43,99","44,30","44,45","43,87","1,11M","-0,36%"
"12.06.2023","44,15","43,90","44,28","43,84","1,14M","0,52%"
"09.06.2023","43,92","43,42","44,16","43,42","1,41M","1,46%"
"07.06.2023","43,29","43,68","43,87","43,17","1,34M","-0,67%"
"06.06.2023","43,58","43,03","43,63","42,78","1,75M","1,68%"
"05.06.2023","42,86","42,95","43,18","42,76","1,15M","-0,14%"
"02.06.2023","42,92","42,67","43,14","42,52","2,30M","1,44%"
"01.06.2023","42,31","42,15","42,46","41,82","1,91M","0,67%"
"31.05.2023","42,03","42,69","42,96","42,03","2,19M","-1,66%"
"30.05.2023","42,74","43,20","43,39","42,69","1,09M","-0,65%"
"29.05.2023","43,02","42,63","43,36","42,26","983,50K","0,91%"
"26.05.2023","42,63","42,70","42,90","42,07","1,46M","0,26%"
"25.05.2023","42,52","42,68","43,02","42,47","934,90K","0,59%"
"24.05.2023","42,27","42,12","42,47","41,97","1,04M","0,14%"
"23.05.2023","42,21","42,67","42,92","42,09","2,04M","-0,66%"
"22.05.2023","42,49","42,62","43,08","42,30","1,24M","-0,31%"
"19.05.2023","42,62","42,47","42,81","42,23","1,92M","0,71%"
"18.05.2023","42,32","42,21","42,50","41,73","2,16M","-0,35%"
"17.05.2023","42,47","43,20","43,66","42,28","1,79M","-1,71%"
"16.05.2023","43,21","43,95","44,47","43,21","2,71M","-1,66%"
"15.05.2023","43,94","43,55","44,22","43,38","1,49M","0,64%"
"12.05.2023","43,66","42,71","43,69","42,56","2,24M","1,53%"
"11.05.2023","43,00","42,64","43,15","42,51","1,76M","0,70%"
"10.05.2023","42,70","42,23","42,86","42,19","1,92M","0,47%"
"09.05.2023","42,50","41,63","42,67","41,63","2,41M","-2,16%"
"08.05.2023","43,44","43,60","43,84","43,02","3,21M","-0,07%"
"06.05.2023","43,47","43,47","43,47","43,47","","0,39%"
"05.05.2023","43,30","42,86","43,78","42,73","2,33M","1,62%"
"04.05.2023","42,61","41,93","42,86","41,85","2,47M","2,13%"
"03.05.2023","41,72","41,20","41,93","40,90","2,28M","1,56%"
"02.05.2023","41,08","41,39","41,50","40,77","1,79M","-0,36%"
"28.04.2023","41,23","40,87","41,23","40,68","1,93M","0,88%"
"27.04.2023","40,87","40,71","40,90","40,47","1,03M","0,49%"
"26.04.2023","40,67","41,10","41,10","40,19","1,32M","-1,09%"
"25.04.2023","41,12","41,10","41,12","40,70","1,84M","-0,12%"
"24.04.2023","41,17","41,00","41,29","40,65","1,55M","-0,75%"
"20.04.2023","41,48","40,71","41,48","40,60","1,59M","1,92%"
"19.04.2023","40,70","40,86","41,11","40,12","1,54M","-0,78%"
"18.04.2023","41,02","41,26","41,26","40,85","1,00M","-0,41%"
"17.04.2023","41,19","41,10","41,24","40,63","1,15M","0,37%"
"14.04.2023","41,04","40,71","41,09","40,17","1,60M","0,81%"
"13.04.2023","40,71","40,40","40,80","40,30","1,31M","0,94%"
"12.04.2023","40,33","39,84","40,64","39,80","2,22M","1,23%"
"11.04.2023","39,84","39,85","40,38","39,77","2,32M","0,00%"
"10.04.2023","39,84","40,04","40,28","39,63","1,48M","-0,77%"
"06.04.2023","40,15","39,98","40,27","39,89","935,90K","0,43%"
"05.04.2023","39,98","40,17","40,26","39,71","699,00K","-0,62%"
"04.04.2023","40,23","39,65","40,40","39,46","1,16M","1,44%"
"03.04.2023","39,66","40,16","40,18","39,10","2,31M","-1,27%"
"31.03.2023","40,17","40,41","40,85","39,74","5,93M","-0,45%"
"30.03.2023","40,35","40,08","40,52","39,97","2,44M","1,13%"
"29.03.2023","39,90","40,18","40,20","39,53","2,34M","0,23%"
"28.03.2023","39,81","39,78","40,26","39,60","1,71M","0,05%"
"27.03.2023","39,79","39,97","40,11","39,63","1,51M","-0,03%"
"24.03.2023","39,80","39,40","39,89","39,09","1,29M","1,07%"
"23.03.2023","39,38","39,80","39,97","39,08","1,63M","-0,51%"
"22.03.2023","39,58","39,65","40,00","39,43","1,46M","-0,25%"
"21.03.2023","39,68","39,95","40,17","39,60","970,50K","-0,68%"
"20.03.2023","39,95","40,08","40,41","39,85","2,06M","-0,12%"
"17.03.2023","40,00","40,80","40,81","40,00","3,60M","-2,22%"
"16.03.2023","40,91","42,20","42,24","40,88","3,11M","-2,76%"
"15.03.2023","42,07","41,35","42,24","41,23","2,24M","1,15%"
"14.03.2023","41,59","41,44","41,84","41,41","1,63M","0,95%"
"13.03.2023","41,20","40,75","41,63","40,69","1,87M","0,66%"
"10.03.2023","40,93","41,27","41,48","40,71","2,36M","-0,90%"
"09.03.2023","41,30","40,30","41,59","40,30","2,63M","2,23%"
"08.03.2023","40,40","40,45","40,47","40,01","2,25M","-0,12%"
"07.03.2023","40,45","39,69","40,45","39,69","2,23M","2,22%"
"06.03.2023","39,57","39,26","39,90","39,00","2,00M","0,79%"
"03.03.2023","39,26","39,49","39,73","39,17","915,70K","-0,33%"
"02.03.2023","39,39","39,29","40,13","39,15","1,66M","0,25%"
"01.03.2023","39,29","39,28","39,47","38,96","1,85M","0,03%"
"28.02.2023","39,28","39,10","39,75","39,03","3,92M","0,46%"
"27.02.2023","39,10","39,14","39,48","38,92","1,47M","0,23%"
"24.02.2023","39,01","39,10","39,50","38,83","1,60M","-0,05%"
"23.02.2023","39,03","39,13","39,48","38,80","1,96M","-0,28%"
"22.02.2023","39,14","39,38","39,47","38,88","1,36M","-0,63%"
"17.02.2023","39,39","39,20","39,78","39,10","2,14M","0,87%"
"16.02.2023","39,05","38,72","39,22","38,42","2,33M","0,72%"
"15.02.2023","38,77","38,17","39,21","38,00","2,69M","1,76%"
"14.02.2023","38,10","38,61","38,69","37,92","1,89M","-1,32%"
"13.02.2023","38,61","38,06","38,78","38,04","1,88M","1,53%"
"10.02.2023","38,03","37,24","38,29","37,24","1,69M","1,60%"
"09.02.2023","37,43","38,06","38,09","37,30","2,18M","-1,66%"
"08.02.2023","38,06","37,55","38,20","37,43","1,73M","1,87%"
"07.02.2023","37,36","38,20","38,34","37,24","2,40M","-2,17%"
"06.02.2023","38,19","37,94","38,35","37,88","1,53M","0,66%"
"03.02.2023","37,94","38,31","38,59","37,70","1,61M","-1,25%"
"02.02.2023","38,42","38,74","38,97","38,22","1,61M","-1,18%"
"01.02.2023","38,88","39,19","39,51","38,61","2,82M","-1,19%"
"31.01.2023","39,35","38,82","39,62","38,82","2,10M","1,37%"
"30.01.2023","38,82","38,93","39,15","38,75","1,29M","-0,08%"
"27.01.2023","38,85","38,74","39,09","38,66","1,15M","0,31%"
"26.01.2023","38,73","39,02","39,26","38,57","2,01M","-0,44%"
"25.01.2023","38,90","38,90","39,11","38,46","1,58M","0,23%"
"24.01.2023","38,81","38,28","38,95","38,10","1,42M","2,02%"
"23.01.2023","38,04","38,16","38,33","37,97","1,14M","-0,31%"
"20.01.2023","38,16","38,67","38,70","37,83","1,95M","-1,40%"
"19.01.2023","38,70","38,78","38,85","37,97","1,95M","-0,87%"
