"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","21,32","21,16","21,32","20,86","190,23K","1,48%"
"02.09.2023","21,01","21,01","21,01","21,01","","0,00%"
"01.09.2023","21,01","21,00","21,29","20,70","487,77K","-2,10%"
"31.08.2023","21,46","21,90","22,18","21,24","503,67K","-2,01%"
"30.08.2023","21,90","22,27","22,27","21,62","175,99K","-2,23%"
"29.08.2023","22,40","21,10","22,44","21,04","720,38K","6,16%"
"28.08.2023","21,10","20,93","21,35","20,93","158,79K","0,29%"
"25.08.2023","21,04","21,10","21,15","20,80","217,93K","-0,09%"
"24.08.2023","21,06","21,51","21,58","21,00","435,01K","-2,09%"
"23.08.2023","21,51","21,18","21,69","21,18","246,07K","1,70%"
"22.08.2023","21,15","21,55","21,72","21,15","222,22K","-2,76%"
"21.08.2023","21,75","21,85","22,15","21,65","226,38K","-0,59%"
"18.08.2023","21,88","22,09","22,24","21,25","893,49K","-4,62%"
"17.08.2023","22,94","23,56","23,56","22,72","274,78K","-4,02%"
"16.08.2023","23,90","23,90","24,20","23,60","125,35K","-0,21%"
"15.08.2023","23,95","23,73","24,10","23,73","340,00K","0,46%"
"14.08.2023","23,84","23,71","24,31","23,62","170,53K","0,46%"
"11.08.2023","23,73","23,88","23,88","23,54","111,10K","-0,04%"
"10.08.2023","23,74","23,74","23,85","23,39","230,82K","0,00%"
"09.08.2023","23,74","24,02","24,33","23,64","217,34K","-0,29%"
"08.08.2023","23,81","23,68","24,24","23,53","253,39K","1,75%"
"07.08.2023","23,40","23,44","23,56","23,13","119,14K","-0,17%"
"04.08.2023","23,44","23,51","23,68","23,28","183,33K","-0,26%"
"03.08.2023","23,50","23,40","23,82","23,22","206,47K","1,29%"
"02.08.2023","23,20","23,38","23,56","23,06","189,00K","-0,51%"
"01.08.2023","23,32","23,00","23,45","22,83","374,54K","0,34%"
"31.07.2023","23,24","23,30","23,35","23,01","372,04K","-0,26%"
"28.07.2023","23,30","23,25","23,35","23,08","120,81K","0,22%"
"27.07.2023","23,25","23,40","23,40","23,02","111,49K","-0,21%"
"26.07.2023","23,30","23,17","23,40","23,12","91,73K","0,56%"
"25.07.2023","23,17","23,20","23,44","23,10","225,15K","-0,30%"
"24.07.2023","23,24","23,84","23,92","23,02","454,97K","-3,53%"
"21.07.2023","24,09","23,92","24,13","23,77","169,31K","0,79%"
"20.07.2023","23,90","24,23","24,27","23,76","271,18K","-1,28%"
"19.07.2023","24,21","24,05","24,35","23,90","152,28K","0,54%"
"18.07.2023","24,08","24,03","24,29","23,82","282,34K","0,54%"
"17.07.2023","23,95","24,30","24,61","23,95","256,49K","-1,03%"
"14.07.2023","24,20","25,05","25,25","24,05","462,20K","-3,78%"
"13.07.2023","25,15","24,19","25,45","24,19","437,31K","4,14%"
"12.07.2023","24,15","24,35","24,50","24,00","243,82K","-0,78%"
"11.07.2023","24,34","24,61","24,79","24,34","204,35K","-1,14%"
"10.07.2023","24,62","24,53","24,65","24,28","144,43K","0,08%"
"07.07.2023","24,60","24,59","24,76","24,16","449,30K","-0,73%"
"06.07.2023","24,78","24,75","24,79","24,29","231,47K","0,20%"
"05.07.2023","24,73","24,41","24,79","24,40","187,53K","-0,24%"
"04.07.2023","24,79","24,71","24,87","24,60","151,90K","0,16%"
"03.07.2023","24,75","24,33","24,94","24,25","457,73K","2,65%"
"30.06.2023","24,11","24,48","24,67","23,63","518,67K","0,17%"
"29.06.2023","24,07","24,05","24,25","23,97","229,42K","2,47%"
"28.06.2023","23,49","24,10","24,20","23,49","268,48K","-2,65%"
"27.06.2023","24,13","23,83","24,29","23,75","342,93K","1,90%"
"26.06.2023","23,68","24,00","24,18","23,18","316,96K","-1,29%"
"23.06.2023","23,99","23,81","24,49","23,47","403,80K","1,52%"
"22.06.2023","23,63","23,99","24,18","23,25","609,64K","-0,30%"
"21.06.2023","23,70","22,91","24,00","22,87","780,12K","6,90%"
"20.06.2023","22,17","21,35","22,40","21,15","485,87K","5,02%"
"19.06.2023","21,11","21,13","21,40","20,94","342,47K","-0,09%"
"16.06.2023","21,13","20,83","21,33","20,63","340,29K","1,10%"
"15.06.2023","20,90","20,74","21,07","20,38","710,00K","-1,69%"
"14.06.2023","21,26","21,40","21,60","21,25","208,25K","-0,09%"
"13.06.2023","21,28","21,58","21,71","21,28","329,99K","-0,65%"
"12.06.2023","21,42","22,00","22,38","21,30","753,71K","-4,29%"
"09.06.2023","22,38","22,62","22,62","22,14","261,99K","-1,19%"
"07.06.2023","22,65","22,83","22,87","22,26","283,43K","-0,83%"
"06.06.2023","22,84","22,00","22,92","21,77","440,29K","3,82%"
"05.06.2023","22,00","23,15","23,15","21,64","610,03K","-5,78%"
"02.06.2023","23,35","23,34","23,67","23,11","236,85K","-0,17%"
"01.06.2023","23,39","23,20","23,67","23,07","309,44K","0,78%"
