"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","21,63","21,11","21,70","21,11","2,80M","1,69%"
"02.09.2023","21,27","21,27","21,27","21,27","","-0,14%"
"01.09.2023","21,30","20,64","21,30","20,57","5,47M","3,40%"
"31.08.2023","20,60","21,14","21,18","20,47","3,79M","-2,55%"
"30.08.2023","21,14","21,45","21,53","21,05","1,09M","-0,80%"
"29.08.2023","21,31","21,19","21,49","21,06","2,09M","0,61%"
"28.08.2023","21,18","20,96","21,27","20,81","1,98M","1,00%"
"25.08.2023","20,97","21,45","21,63","20,84","3,02M","-2,10%"
"24.08.2023","21,42","21,24","21,42","21,08","2,42M","0,23%"
"23.08.2023","21,37","21,11","21,48","21,00","3,28M","1,28%"
"22.08.2023","21,10","21,00","21,40","20,85","1,73M","1,20%"
"21.08.2023","20,85","20,80","21,03","20,67","3,75M","-0,86%"
"18.08.2023","21,03","20,65","21,06","20,63","4,60M","1,25%"
"17.08.2023","20,77","21,14","21,22","20,64","5,02M","-1,52%"
"16.08.2023","21,09","21,67","21,70","20,96","4,23M","-2,50%"
"15.08.2023","21,63","21,89","22,11","21,45","3,79M","-1,28%"
"14.08.2023","21,91","22,39","22,39","21,84","3,27M","-1,44%"
"11.08.2023","22,23","22,27","22,39","21,97","2,64M","-0,18%"
"10.08.2023","22,27","22,19","22,40","22,03","2,01M","0,50%"
"09.08.2023","22,16","21,96","22,21","21,89","1,79M","0,18%"
"08.08.2023","22,12","22,05","22,41","21,70","2,89M","-0,27%"
"07.08.2023","22,18","22,41","22,48","22,08","3,15M","-1,03%"
"04.08.2023","22,41","22,60","22,70","22,28","2,63M","-0,75%"
"03.08.2023","22,58","22,63","23,28","22,52","5,19M","0,58%"
"02.08.2023","22,45","22,43","22,63","22,28","3,40M","0,13%"
"01.08.2023","22,42","21,77","22,55","21,56","5,69M","2,47%"
"31.07.2023","21,88","22,26","22,32","21,66","4,56M","-0,55%"
"28.07.2023","22,00","22,15","22,48","21,78","7,08M","0,64%"
"27.07.2023","21,86","22,18","22,22","21,78","3,48M","-1,13%"
"26.07.2023","22,11","21,88","22,30","21,88","3,21M","0,00%"
"25.07.2023","22,11","22,33","22,72","22,02","2,72M","0,77%"
"24.07.2023","21,94","21,55","22,09","21,55","1,62M","1,06%"
"21.07.2023","21,71","21,47","22,07","21,47","5,05M","1,59%"
"20.07.2023","21,37","21,24","21,43","20,94","2,98M","0,14%"
"19.07.2023","21,34","21,43","21,50","21,07","2,19M","-0,37%"
"18.07.2023","21,42","21,38","21,57","21,22","2,67M","0,19%"
"17.07.2023","21,38","21,26","21,44","21,00","3,12M","-0,19%"
"14.07.2023","21,42","22,02","22,02","21,29","4,37M","-2,81%"
"13.07.2023","22,04","22,16","22,35","22,00","2,01M","-0,54%"
"12.07.2023","22,16","22,30","22,52","22,09","3,61M","-0,45%"
"11.07.2023","22,26","22,25","22,46","21,71","3,93M","-0,85%"
"10.07.2023","22,45","22,52","22,52","22,18","2,00M","-0,31%"
"07.07.2023","22,52","22,51","22,76","22,21","3,73M","1,08%"
"06.07.2023","22,28","22,46","22,54","22,14","3,93M","-1,46%"
"05.07.2023","22,61","22,26","23,20","21,96","4,39M","1,12%"
"04.07.2023","22,36","22,60","22,60","22,14","2,03M","-1,02%"
"03.07.2023","22,59","22,43","22,74","22,21","4,52M","0,76%"
"30.06.2023","22,42","22,39","22,86","22,23","5,72M","0,54%"
"29.06.2023","22,30","22,47","22,53","21,93","3,54M","0,00%"
"28.06.2023","22,30","22,45","22,75","22,15","2,55M","-0,67%"
"27.06.2023","22,45","23,13","23,39","21,96","4,36M","-1,84%"
"26.06.2023","22,87","23,14","23,32","22,41","3,06M","-0,91%"
"23.06.2023","23,08","22,74","23,39","22,50","4,56M","2,26%"
"22.06.2023","22,57","22,29","22,58","22,20","1,95M","-0,53%"
"21.06.2023","22,69","22,60","22,80","22,28","3,56M","0,84%"
"20.06.2023","22,50","21,92","22,60","21,88","5,00M","2,23%"
"19.06.2023","22,01","21,89","22,10","21,75","1,56M","0,50%"
"16.06.2023","21,90","22,02","22,19","21,78","4,30M","-1,22%"
"15.06.2023","22,17","22,15","22,30","21,93","2,28M","-0,05%"
"14.06.2023","22,18","21,84","22,34","21,59","2,92M","1,84%"
"13.06.2023","21,78","22,00","22,04","21,47","3,85M","-1,31%"
"12.06.2023","22,07","22,03","22,16","21,83","5,70M","-0,09%"
"09.06.2023","22,09","22,76","22,83","21,92","5,12M","-2,17%"
"07.06.2023","22,58","22,35","23,19","22,35","5,07M","1,07%"
"06.06.2023","22,34","21,59","22,54","21,51","4,73M","3,91%"
"05.06.2023","21,50","21,62","21,62","21,14","4,70M","-0,51%"
"02.06.2023","21,61","22,01","22,41","21,29","5,04M","-0,69%"
"01.06.2023","21,76","21,77","21,94","21,35","5,65M","0,00%"
"31.05.2023","21,76","21,81","22,02","21,64","3,62M","-0,87%"
"30.05.2023","21,95","22,04","22,40","21,72","2,57M","-0,36%"
"29.05.2023","22,03","22,05","22,14","21,64","1,91M","-0,27%"
"26.05.2023","22,09","22,21","22,37","21,78","2,11M","0,23%"
"25.05.2023","22,04","22,49","23,24","22,04","5,07M","0,05%"
"24.05.2023","22,03","21,97","22,20","21,79","4,04M","0,14%"
"23.05.2023","22,00","22,17","22,40","21,97","2,20M","0,00%"
"22.05.2023","22,00","21,75","22,17","21,75","5,66M","0,55%"
"19.05.2023","21,88","21,68","22,15","21,51","4,49M","1,06%"
"18.05.2023","21,65","21,37","21,85","21,31","5,02M","1,17%"
"17.05.2023","21,40","20,83","21,56","20,83","2,66M","1,90%"
"16.05.2023","21,00","21,26","21,48","20,82","1,64M","-0,52%"
"15.05.2023","21,11","21,02","21,27","20,85","1,51M","0,14%"
"12.05.2023","21,08","21,11","21,50","20,87","2,30M","-0,71%"
"11.05.2023","21,23","20,88","21,48","20,85","2,89M","0,09%"
"10.05.2023","21,21","20,83","21,46","20,67","3,76M","1,73%"
"09.05.2023","20,85","20,43","21,15","20,35","7,15M","0,97%"
"08.05.2023","20,65","21,35","21,35","20,54","3,52M","-2,69%"
"06.05.2023","21,22","21,22","21,22","21,22","","0,00%"
"05.05.2023","21,22","20,71","21,44","20,57","3,65M","2,86%"
"04.05.2023","20,63","20,73","20,95","20,24","4,32M","1,18%"
"03.05.2023","20,39","20,38","20,85","19,88","4,42M","0,69%"
"02.05.2023","20,25","20,28","20,37","19,87","2,40M","-0,54%"
"28.04.2023","20,36","19,83","20,53","19,83","4,74M","2,93%"
"27.04.2023","19,78","19,25","19,94","19,25","2,79M","2,65%"
"26.04.2023","19,27","19,39","19,48","19,12","1,43M","-0,16%"
"25.04.2023","19,30","19,10","19,46","19,02","1,86M","-0,21%"
"24.04.2023","19,34","19,15","19,59","18,82","4,23M","-0,41%"
"20.04.2023","19,42","19,43","19,79","19,24","3,02M","0,15%"
"19.04.2023","19,39","19,61","19,87","19,16","6,16M","-3,34%"
"18.04.2023","20,06","20,22","20,37","19,95","2,34M","-0,25%"
"17.04.2023","20,11","20,50","20,67","20,04","3,09M","-1,95%"
"14.04.2023","20,51","20,22","20,60","19,84","2,53M","0,89%"
