"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.01.2013","3,03","3,02","3,06","2,99","25,30M","0,33%"
"30.01.2013","3,02","3,05","3,08","3,01","16,68M","-1,63%"
"29.01.2013","3,07","3,06","3,10","3,03","19,81M","0,00%"
"28.01.2013","3,07","3,15","3,15","3,05","20,06M","-2,85%"
"24.01.2013","3,16","3,16","3,18","3,10","19,51M","-0,32%"
"23.01.2013","3,17","3,18","3,19","3,15","19,47M","-0,94%"
"22.01.2013","3,20","3,17","3,20","3,13","14,68M","0,95%"
"21.01.2013","3,17","3,17","3,18","3,15","8,50M","-0,31%"
"18.01.2013","3,18","3,17","3,18","3,14","28,30M","0,32%"
"17.01.2013","3,17","3,11","3,18","3,11","25,77M","1,60%"
"16.01.2013","3,12","3,08","3,13","3,06","16,51M","0,65%"
"15.01.2013","3,10","3,12","3,14","3,09","15,58M","-0,96%"
"14.01.2013","3,13","3,11","3,15","3,10","30,28M","0,97%"
"11.01.2013","3,10","3,08","3,10","3,07","12,80M","0,32%"
"10.01.2013","3,09","3,12","3,13","3,08","18,41M","-0,96%"
"09.01.2013","3,12","3,09","3,12","3,08","13,87M","1,30%"
"08.01.2013","3,08","3,06","3,10","3,04","31,36M","0,65%"
"07.01.2013","3,06","3,08","3,11","3,04","29,95M","-1,29%"
"04.01.2013","3,10","3,11","3,12","3,06","20,78M","-0,64%"
"03.01.2013","3,12","3,02","3,13","3,00","25,95M","3,31%"
"02.01.2013","3,02","2,96","3,03","2,96","22,54M","3,42%"
"28.12.2012","2,92","2,92","2,94","2,89","18,53M","0,34%"
"27.12.2012","2,91","2,94","2,96","2,88","19,89M","-1,36%"
"26.12.2012","2,95","3,01","3,01","2,94","21,86M","-1,01%"
"21.12.2012","2,98","2,90","2,98","2,90","23,89M","1,71%"
"20.12.2012","2,93","2,94","2,96","2,91","17,92M","-0,34%"
"19.12.2012","2,94","2,85","2,95","2,84","28,70M","3,16%"
"18.12.2012","2,85","2,83","2,86","2,82","25,53M","0,71%"
"17.12.2012","2,83","2,85","2,86","2,83","21,35M","-0,70%"
"14.12.2012","2,85","2,87","2,87","2,83","29,77M","-0,35%"
"13.12.2012","2,86","2,85","2,89","2,84","21,52M","0,00%"
"12.12.2012","2,86","2,88","2,88","2,85","25,22M","-0,69%"
"11.12.2012","2,88","2,88","2,89","2,84","20,65M","0,70%"
"10.12.2012","2,86","2,84","2,87","2,83","14,72M","0,00%"
"07.12.2012","2,86","2,84","2,87","2,81","16,81M","0,70%"
"06.12.2012","2,84","2,89","2,89","2,81","24,36M","-1,39%"
"05.12.2012","2,88","2,86","2,90","2,84","22,10M","0,70%"
"04.12.2012","2,86","2,88","2,90","2,85","14,47M","-1,38%"
"03.12.2012","2,90","2,85","2,92","2,84","32,66M","2,11%"
"30.11.2012","2,84","2,81","2,86","2,74","38,30M","1,43%"
"29.11.2012","2,80","2,77","2,80","2,73","19,57M","1,82%"
"28.11.2012","2,75","2,70","2,75","2,69","20,95M","0,73%"
"27.11.2012","2,73","2,77","2,78","2,72","16,64M","-1,09%"
"26.11.2012","2,76","2,81","2,82","2,76","15,32M","-2,47%"
"23.11.2012","2,83","2,78","2,83","2,78","16,98M","1,07%"
"22.11.2012","2,80","2,77","2,80","2,77","12,50M","1,08%"
"21.11.2012","2,77","2,74","2,78","2,70","20,11M","1,09%"
"19.11.2012","2,74","2,64","2,74","2,64","19,57M","3,79%"
"16.11.2012","2,64","2,61","2,67","2,61","16,28M","0,38%"
"14.11.2012","2,63","2,65","2,67","2,61","27,26M","-1,87%"
"13.11.2012","2,68","2,63","2,68","2,61","16,94M","1,90%"
"12.11.2012","2,63","2,62","2,65","2,61","10,29M","0,38%"
"09.11.2012","2,62","2,63","2,66","2,59","19,28M","-0,38%"
"08.11.2012","2,63","2,69","2,71","2,61","27,03M","-2,23%"
"07.11.2012","2,69","2,74","2,75","2,67","19,40M","-2,18%"
"06.11.2012","2,75","2,73","2,77","2,71","27,40M","0,73%"
"05.11.2012","2,73","2,70","2,73","2,69","12,00M","-0,36%"
"01.11.2012","2,74","2,61","2,74","2,60","31,61M","4,58%"
"31.10.2012","2,62","2,64","2,64","2,59","22,60M","-0,76%"
"30.10.2012","2,64","2,63","2,65","2,61","12,69M","1,15%"
"29.10.2012","2,61","2,58","2,61","2,56","13,10M","0,00%"
"26.10.2012","2,61","2,61","2,63","2,58","20,28M","-1,14%"
"25.10.2012","2,64","2,63","2,67","2,60","19,97M","1,15%"
"24.10.2012","2,61","2,49","2,61","2,49","53,26M","4,82%"
"23.10.2012","2,49","2,53","2,53","2,48","49,28M","-3,49%"
"22.10.2012","2,58","2,60","2,60","2,55","29,59M","-1,15%"
"19.10.2012","2,61","2,61","2,61","2,56","31,29M","-0,38%"
"18.10.2012","2,62","2,59","2,62","2,56","22,49M","0,38%"
"17.10.2012","2,61","2,63","2,63","2,53","38,37M","-0,38%"
"16.10.2012","2,62","2,63","2,65","2,59","14,67M","0,38%"
"15.10.2012","2,61","2,60","2,61","2,57","35,89M","0,38%"
"11.10.2012","2,60","2,58","2,61","2,56","29,22M","1,56%"
"10.10.2012","2,56","2,62","2,64","2,55","29,53M","-2,29%"
"09.10.2012","2,62","2,68","2,69","2,60","31,47M","-2,60%"
"08.10.2012","2,69","2,67","2,69","2,63","19,47M","0,37%"
"05.10.2012","2,68","2,67","2,71","2,65","32,72M","1,13%"
"04.10.2012","2,65","2,64","2,65","2,61","27,29M","0,38%"
"03.10.2012","2,64","2,69","2,70","2,64","22,88M","-1,86%"
"02.10.2012","2,69","2,68","2,71","2,66","19,86M","0,00%"
"01.10.2012","2,69","2,65","2,69","2,64","26,09M","1,13%"
"28.09.2012","2,66","2,70","2,70","2,62","50,04M","-2,21%"
"27.09.2012","2,72","2,77","2,78","2,69","33,27M","-1,81%"
"26.09.2012","2,77","2,71","2,77","2,67","35,90M","1,09%"
"25.09.2012","2,74","2,85","2,87","2,72","53,91M","-5,84%"
"24.09.2012","2,91","2,91","2,95","2,88","28,65M","-0,34%"
"21.09.2012","2,92","2,91","2,93","2,89","19,38M","1,04%"
"20.09.2012","2,89","2,89","2,90","2,86","18,19M","-0,69%"
"19.09.2012","2,91","2,93","2,94","2,89","25,22M","-0,34%"
"18.09.2012","2,92","2,99","3,00","2,90","24,09M","-2,01%"
"17.09.2012","2,98","3,04","3,07","2,95","34,75M","-1,65%"
"14.09.2012","3,03","2,99","3,07","2,99","35,23M","1,00%"
"13.09.2012","3,00","2,92","3,02","2,87","30,35M","2,39%"
"12.09.2012","2,93","2,88","2,94","2,87","19,23M","2,45%"
"11.09.2012","2,86","2,84","2,86","2,84","20,61M","1,06%"
"10.09.2012","2,83","2,86","2,88","2,82","26,40M","0,35%"
"06.09.2012","2,82","2,75","2,83","2,74","32,01M","2,92%"
"05.09.2012","2,74","2,74","2,75","2,69","14,80M","0,74%"
"04.09.2012","2,72","2,76","2,77","2,71","20,27M","-2,16%"
"03.09.2012","2,78","2,74","2,80","2,74","9,78M","1,09%"
"31.08.2012","2,75","2,86","2,86","2,74","39,60M","-2,48%"
"30.08.2012","2,82","2,79","2,82","2,77","14,58M","-0,35%"
"29.08.2012","2,83","2,90","2,91","2,80","21,11M","-2,41%"
"28.08.2012","2,90","2,89","2,91","2,88","14,51M","0,00%"
"27.08.2012","2,90","2,94","2,95","2,87","15,61M","-1,36%"
"24.08.2012","2,94","2,93","2,96","2,92","22,83M","-0,34%"
"23.08.2012","2,95","2,95","2,95","2,90","17,09M","-0,67%"
"22.08.2012","2,97","2,96","2,99","2,92","39,17M","0,00%"
"21.08.2012","2,97","3,02","3,03","2,95","15,99M","-1,00%"
"20.08.2012","3,00","3,01","3,04","2,97","13,58M","-0,33%"
"17.08.2012","3,01","3,01","3,04","3,00","16,42M","0,00%"
"16.08.2012","3,01","2,98","3,03","2,96","17,75M","1,69%"
"15.08.2012","2,96","2,92","2,98","2,91","19,51M","0,68%"
"14.08.2012","2,94","2,98","3,00","2,92","13,21M","-1,01%"
"13.08.2012","2,97","2,97","2,99","2,94","12,59M","-0,67%"
"10.08.2012","2,99","2,93","3,00","2,90","14,74M","1,01%"
"09.08.2012","2,96","2,96","2,98","2,93","16,17M","-0,67%"
"08.08.2012","2,98","2,90","2,99","2,90","23,17M","1,71%"
"07.08.2012","2,93","2,92","2,95","2,92","20,18M","0,69%"
"06.08.2012","2,91","2,87","2,95","2,85","16,18M","1,75%"
"03.08.2012","2,86","2,82","2,88","2,82","24,71M","3,62%"
"02.08.2012","2,76","2,79","2,80","2,74","16,92M","-1,78%"
"01.08.2012","2,81","2,82","2,85","2,76","16,01M","-0,71%"
"31.07.2012","2,83","2,91","2,92","2,79","25,91M","-2,75%"
"30.07.2012","2,91","2,84","2,91","2,82","17,83M","2,11%"
"27.07.2012","2,85","2,75","2,88","2,74","32,52M","4,40%"
"26.07.2012","2,73","2,67","2,73","2,66","24,00M","3,02%"
"25.07.2012","2,65","2,64","2,66","2,62","17,62M","0,38%"
"24.07.2012","2,64","2,54","2,64","2,54","22,86M","3,94%"
"23.07.2012","2,54","2,57","2,58","2,50","15,50M","-2,68%"
"20.07.2012","2,61","2,60","2,63","2,59","16,73M","-1,14%"
"19.07.2012","2,64","2,59","2,64","2,59","13,93M","2,33%"
"18.07.2012","2,58","2,51","2,58","2,48","12,19M","2,79%"
"17.07.2012","2,51","2,55","2,57","2,49","19,37M","-0,79%"
"16.07.2012","2,53","2,56","2,56","2,49","27,79M","-1,17%"
"13.07.2012","2,56","2,50","2,56","2,49","12,32M","2,81%"
"12.07.2012","2,49","2,42","2,49","2,42","16,78M","1,22%"
"11.07.2012","2,46","2,45","2,52","2,42","23,54M","0,41%"
"10.07.2012","2,45","2,58","2,60","2,45","22,25M","-5,04%"
"06.07.2012","2,58","2,58","2,58","2,54","16,33M","-1,15%"
"05.07.2012","2,61","2,59","2,65","2,57","16,92M","1,16%"
"04.07.2012","2,58","2,55","2,59","2,54","6,77M","0,78%"
"03.07.2012","2,56","2,52","2,60","2,50","19,63M","2,40%"
"02.07.2012","2,50","2,49","2,50","2,45","11,55M","0,00%"
"29.06.2012","2,50","2,44","2,50","2,43","21,84M","5,04%"
"28.06.2012","2,38","2,40","2,42","2,35","17,49M","-1,24%"
"27.06.2012","2,41","2,40","2,46","2,38","13,22M","0,84%"
"26.06.2012","2,39","2,39","2,41","2,36","16,67M","0,42%"
"25.06.2012","2,38","2,45","2,46","2,37","15,26M","-4,03%"
"22.06.2012","2,48","2,53","2,55","2,45","15,50M","-1,98%"
"21.06.2012","2,53","2,65","2,65","2,53","17,62M","-4,17%"
"20.06.2012","2,64","2,67","2,68","2,59","19,44M","-1,86%"
"19.06.2012","2,69","2,65","2,69","2,63","23,20M","2,28%"
"18.06.2012","2,63","2,60","2,66","2,58","19,08M","-0,38%"
"15.06.2012","2,64","2,61","2,64","2,58","23,82M","1,15%"
"14.06.2012","2,61","2,60","2,63","2,57","15,88M","0,38%"
"13.06.2012","2,60","2,56","2,62","2,54","21,06M","0,39%"
"12.06.2012","2,59","2,53","2,59","2,53","12,82M","1,97%"
"11.06.2012","2,54","2,54","2,58","2,51","15,48M","0,40%"
"08.06.2012","2,53","2,50","2,55","2,49","14,04M","-0,39%"
"06.06.2012","2,54","2,44","2,54","2,39","18,12M","4,96%"
"05.06.2012","2,42","2,48","2,50","2,42","15,49M","-1,63%"
