"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","8,51","8,50","8,65","8,42","724,30K","-0,58%"
"02.09.2023","8,56","8,56","8,56","8,56","","0,12%"
"01.09.2023","8,55","8,46","8,60","8,33","1,02M","1,66%"
"31.08.2023","8,41","8,69","8,69","8,32","1,03M","-2,44%"
"30.08.2023","8,62","8,53","8,74","8,53","925,70K","1,53%"
"29.08.2023","8,49","8,57","8,64","8,39","912,80K","-0,24%"
"28.08.2023","8,51","8,40","8,58","8,36","1,47M","2,53%"
"25.08.2023","8,30","7,95","8,44","7,95","3,22M","6,41%"
"24.08.2023","7,80","7,51","7,80","7,51","2,12M","4,14%"
"23.08.2023","7,49","7,20","7,49","7,14","990,00K","5,20%"
"22.08.2023","7,12","7,02","7,27","7,02","1,73M","1,57%"
"21.08.2023","7,01","7,02","7,18","6,97","1,59M","-0,28%"
"18.08.2023","7,03","7,03","7,05","6,88","747,80K","1,44%"
"17.08.2023","6,93","7,23","7,26","6,93","1,90M","-2,94%"
"16.08.2023","7,14","7,48","7,53","7,14","1,69M","-4,93%"
"15.08.2023","7,51","7,82","7,82","7,45","1,12M","-2,21%"
"14.08.2023","7,68","7,90","7,91","7,65","878,30K","-1,66%"
"11.08.2023","7,81","8,12","8,12","7,77","655,70K","-1,76%"
"10.08.2023","7,95","7,90","8,12","7,90","1,06M","-0,25%"
"09.08.2023","7,97","8,00","8,01","7,88","598,00K","-0,25%"
"08.08.2023","7,99","8,10","8,14","7,99","760,80K","-1,84%"
"07.08.2023","8,14","8,06","8,16","8,02","1,04M","0,62%"
"04.08.2023","8,09","8,10","8,23","8,04","1,14M","-0,74%"
"03.08.2023","8,15","8,40","8,44","8,09","1,01M","-1,69%"
"02.08.2023","8,29","8,35","8,45","8,18","1,22M","-0,36%"
"01.08.2023","8,32","8,43","8,43","8,17","953,50K","-6,20%"
"31.07.2023","8,87","8,67","8,93","8,60","2,81M","3,26%"
"28.07.2023","8,59","8,55","8,59","8,41","832,90K","1,18%"
"27.07.2023","8,49","8,60","8,65","8,44","667,80K","-0,82%"
"26.07.2023","8,56","8,51","8,62","8,36","774,20K","-0,12%"
"25.07.2023","8,57","8,63","8,73","8,45","992,60K","-0,35%"
"24.07.2023","8,60","8,54","8,69","8,45","1,18M","1,42%"
"21.07.2023","8,48","8,30","8,58","8,30","686,80K","2,29%"
"20.07.2023","8,29","8,27","8,34","8,20","760,70K","0,36%"
"19.07.2023","8,26","8,37","8,38","8,16","539,10K","-0,96%"
"18.07.2023","8,34","8,40","8,41","8,29","536,70K","-0,71%"
"17.07.2023","8,40","8,20","8,44","8,18","704,60K","2,44%"
"14.07.2023","8,20","8,20","8,40","8,10","970,70K","-0,12%"
"13.07.2023","8,21","8,25","8,28","8,05","811,30K","0,86%"
"12.07.2023","8,14","7,87","8,32","7,87","1,44M","3,56%"
"11.07.2023","7,86","7,85","7,87","7,68","891,10K","0,77%"
"10.07.2023","7,80","7,77","7,94","7,74","662,40K","1,04%"
"07.07.2023","7,72","7,60","7,80","7,54","477,80K","2,25%"
"06.07.2023","7,55","7,72","7,81","7,52","730,00K","-2,45%"
"05.07.2023","7,74","7,65","7,83","7,60","775,90K","1,18%"
"04.07.2023","7,65","7,65","7,70","7,50","598,90K","0,00%"
"03.07.2023","7,65","7,50","7,65","7,42","1,08M","1,73%"
"30.06.2023","7,52","7,81","7,91","7,52","1,16M","-3,84%"
"29.06.2023","7,82","8,10","8,15","7,59","1,51M","-2,98%"
"28.06.2023","8,06","8,14","8,16","8,04","439,30K","-0,49%"
"27.06.2023","8,10","8,28","8,31","8,02","479,00K","-1,70%"
"26.06.2023","8,24","8,27","8,42","8,15","429,50K","-0,36%"
"23.06.2023","8,27","8,38","8,44","8,20","420,40K","-1,43%"
"22.06.2023","8,39","8,33","8,50","8,23","1,04M","1,08%"
"21.06.2023","8,30","8,26","8,35","8,17","293,20K","0,24%"
"20.06.2023","8,28","8,14","8,35","8,12","818,20K","1,60%"
"19.06.2023","8,15","7,99","8,15","7,92","344,10K","2,00%"
"16.06.2023","7,99","8,14","8,14","7,96","470,90K","-1,72%"
"15.06.2023","8,13","8,14","8,24","8,01","699,80K","-0,12%"
"14.06.2023","8,14","8,00","8,18","7,92","518,40K","2,01%"
"13.06.2023","7,98","8,19","8,30","7,88","619,50K","-1,60%"
"12.06.2023","8,11","8,22","8,28","8,02","632,90K","-2,05%"
"09.06.2023","8,28","8,52","8,61","8,14","1,43M","-2,36%"
"07.06.2023","8,48","8,47","8,65","8,35","820,80K","1,07%"
"06.06.2023","8,39","8,32","8,46","8,20","567,90K","2,07%"
"05.06.2023","8,22","8,18","8,38","7,98","426,70K","0,86%"
"02.06.2023","8,15","8,00","8,19","7,96","637,10K","3,16%"
"01.06.2023","7,90","7,78","7,96","7,72","765,20K","1,80%"
"31.05.2023","7,76","8,10","8,15","7,76","1,71M","-5,25%"
"30.05.2023","8,19","8,35","8,36","8,00","659,50K","-1,80%"
"29.05.2023","8,34","8,27","8,45","8,19","656,50K","0,85%"
"26.05.2023","8,27","8,35","8,49","8,12","594,20K","-0,96%"
"25.05.2023","8,35","8,10","8,48","7,93","1,15M","2,96%"
"24.05.2023","8,11","8,15","8,17","7,99","499,20K","0,00%"
"23.05.2023","8,11","8,00","8,25","7,99","465,40K","0,75%"
"22.05.2023","8,05","8,02","8,23","7,93","692,60K","-0,25%"
"19.05.2023","8,07","7,94","8,22","7,93","727,90K","1,51%"
"18.05.2023","7,95","7,68","7,96","7,68","689,60K","3,11%"
"17.05.2023","7,71","7,50","7,76","7,50","588,80K","2,66%"
"16.05.2023","7,51","7,55","7,66","7,51","460,60K","-0,66%"
"15.05.2023","7,56","7,85","7,85","7,47","919,70K","-1,31%"
