"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","11,41","11,38","11,65","11,32","1,63M","-0,26%"
"02.09.2023","11,44","11,44","11,44","11,44","","0,70%"
"01.09.2023","11,36","11,25","11,42","10,87","2,99M","1,25%"
"31.08.2023","11,22","11,30","11,46","11,12","1,75M","-0,18%"
"30.08.2023","11,24","11,42","11,46","11,06","1,50M","-1,58%"
"29.08.2023","11,42","11,21","11,47","11,20","1,48M","-0,52%"
"28.08.2023","11,48","11,48","11,55","11,42","1,47M","1,15%"
"25.08.2023","11,35","11,45","11,52","11,30","1,30M","-0,61%"
"24.08.2023","11,42","11,38","11,75","11,31","1,81M","0,97%"
"23.08.2023","11,31","11,10","11,37","11,07","1,51M","2,54%"
"22.08.2023","11,03","10,82","11,12","10,82","1,94M","2,51%"
"21.08.2023","10,76","10,63","10,96","10,50","2,07M","1,22%"
"18.08.2023","10,63","10,04","10,68","9,90","2,92M","6,30%"
"17.08.2023","10,00","10,18","10,25","9,92","1,13M","-1,67%"
"16.08.2023","10,17","10,09","10,33","10,02","1,29M","1,70%"
"15.08.2023","10,00","10,15","10,17","9,85","918,60K","-1,48%"
"14.08.2023","10,15","9,80","10,20","9,77","1,02M","3,05%"
"11.08.2023","9,85","10,06","10,07","9,64","1,35M","-1,60%"
"10.08.2023","10,01","10,00","10,15","10,00","870,70K","0,00%"
"09.08.2023","10,01","9,98","10,06","9,90","669,50K","0,60%"
"08.08.2023","9,95","9,90","9,98","9,82","1,19M","-0,50%"
"07.08.2023","10,00","10,02","10,04","9,82","1,41M","-0,20%"
"04.08.2023","10,02","10,06","10,29","10,01","1,76M","-1,28%"
"03.08.2023","10,15","9,50","10,23","9,29","4,26M","2,42%"
"02.08.2023","9,91","9,65","9,93","9,52","2,28M","3,01%"
"01.08.2023","9,62","9,40","9,64","9,34","1,93M","2,45%"
"31.07.2023","9,39","9,37","9,43","9,31","2,08M","0,97%"
"28.07.2023","9,30","9,21","9,35","9,16","827,10K","1,42%"
"27.07.2023","9,17","9,34","9,44","9,12","1,13M","-1,50%"
"26.07.2023","9,31","9,41","9,42","9,23","1,01M","-1,06%"
"25.07.2023","9,41","9,48","9,58","9,37","1,58M","0,32%"
"24.07.2023","9,38","9,31","9,40","9,27","1,09M","0,54%"
"21.07.2023","9,33","9,36","9,46","9,26","1,76M","0,11%"
"20.07.2023","9,32","9,25","9,38","9,22","664,70K","0,98%"
"19.07.2023","9,23","9,34","9,34","9,09","1,31M","-0,86%"
"18.07.2023","9,31","9,31","9,40","9,26","983,10K","0,11%"
"17.07.2023","9,30","9,20","9,40","9,12","1,33M","1,42%"
"14.07.2023","9,17","9,25","9,36","9,06","1,01M","-0,97%"
"13.07.2023","9,26","9,25","9,33","9,18","985,40K","0,54%"
