"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","12,95","12,94","13,24","12,94","773,60K","-0,61%"
"02.09.2023","13,03","13,03","13,03","13,03","","0,00%"
"01.09.2023","13,03","12,70","13,15","12,69","966,50K","3,00%"
"31.08.2023","12,65","13,01","13,21","12,19","1,59M","-2,77%"
"30.08.2023","13,01","13,11","13,36","12,92","591,50K","-0,84%"
"29.08.2023","13,12","12,82","13,18","12,55","913,40K","2,90%"
"28.08.2023","12,75","13,33","13,43","12,63","1,66M","-4,49%"
"25.08.2023","13,35","13,56","13,66","13,13","1,04M","-1,26%"
"24.08.2023","13,52","13,48","13,59","13,28","1,82M","0,45%"
"23.08.2023","13,46","12,95","13,56","12,89","1,45M","4,67%"
"22.08.2023","12,86","12,44","13,02","12,36","1,14M","4,64%"
"21.08.2023","12,29","12,40","12,48","12,00","889,60K","-0,57%"
"18.08.2023","12,36","12,10","12,36","11,85","868,20K","2,32%"
"17.08.2023","12,08","13,09","13,09","11,99","1,86M","-6,93%"
"16.08.2023","12,98","12,90","13,38","12,88","1,14M","0,00%"
"15.08.2023","12,98","13,00","13,12","12,77","811,60K","-0,23%"
"14.08.2023","13,01","12,79","13,13","12,59","1,19M","3,58%"
"11.08.2023","12,56","12,97","12,97","12,10","1,92M","-3,09%"
"10.08.2023","12,96","12,80","12,96","12,63","863,20K","1,65%"
"09.08.2023","12,75","12,80","12,86","12,62","496,50K","-0,39%"
"08.08.2023","12,80","12,74","12,92","12,49","664,80K","0,00%"
"07.08.2023","12,80","12,76","12,93","12,51","736,80K","-0,62%"
"04.08.2023","12,88","12,80","13,09","12,78","653,60K","1,42%"
"03.08.2023","12,70","13,00","13,02","12,65","722,60K","-0,94%"
"02.08.2023","12,82","12,70","12,99","12,69","657,80K","0,87%"
"01.08.2023","12,71","12,45","12,89","12,38","780,60K","2,17%"
"31.07.2023","12,44","12,97","12,97","12,44","983,30K","-2,51%"
"28.07.2023","12,76","12,70","12,85","12,46","767,40K","1,35%"
"27.07.2023","12,59","12,42","12,93","12,36","1,69M","1,61%"
"26.07.2023","12,39","12,26","12,51","12,03","739,40K","1,47%"
"25.07.2023","12,21","12,18","12,48","12,16","405,60K","0,25%"
"24.07.2023","12,18","11,96","12,20","11,95","378,80K","1,84%"
"21.07.2023","11,96","12,02","12,17","11,92","460,30K","0,08%"
"20.07.2023","11,95","11,80","12,11","11,71","629,30K","1,27%"
"19.07.2023","11,80","11,86","11,87","11,59","435,90K","-0,76%"
"18.07.2023","11,89","11,63","11,99","11,45","761,60K","1,54%"
"17.07.2023","11,71","11,68","11,75","11,37","715,00K","-1,18%"
"14.07.2023","11,85","11,98","11,98","11,48","986,80K","-1,09%"
"13.07.2023","11,98","11,74","12,06","11,71","523,00K","2,31%"
"12.07.2023","11,71","11,77","11,95","11,64","571,00K","0,17%"
"11.07.2023","11,69","11,80","11,81","11,29","833,70K","-1,76%"
"10.07.2023","11,90","12,22","12,23","11,75","584,60K","-2,06%"
"07.07.2023","12,15","11,67","12,24","11,61","1,73M","5,19%"
"06.07.2023","11,55","11,50","11,77","11,36","639,70K","0,35%"
"05.07.2023","11,51","11,40","11,73","11,28","1,36M","-0,60%"
"04.07.2023","11,58","12,00","12,00","11,54","730,40K","-2,44%"
"03.07.2023","11,87","11,38","12,04","11,38","1,15M","5,32%"
"30.06.2023","11,27","11,06","11,46","11,02","856,20K","2,55%"
"29.06.2023","10,99","10,52","11,09","10,52","1,11M","4,07%"
"28.06.2023","10,56","11,05","11,17","10,56","2,33M","-4,43%"
"27.06.2023","11,05","11,73","11,75","11,04","683,20K","-5,96%"
"26.06.2023","11,75","11,89","11,89","11,65","555,40K","-1,01%"
"23.06.2023","11,87","12,04","12,05","11,84","521,40K","-1,00%"
