"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","7,33","7,34","7,52","7,27","9,84M","-0,27%"
"02.09.2023","7,35","7,35","7,35","7,35","","-0,14%"
"01.09.2023","7,36","7,40","7,48","7,26","22,23M","-0,67%"
"31.08.2023","7,41","7,32","7,50","7,14","21,52M","0,54%"
"30.08.2023","7,37","7,43","7,49","7,09","24,35M","-1,07%"
"29.08.2023","7,45","7,44","7,75","7,27","58,33M","10,70%"
"28.08.2023","6,73","6,52","6,75","6,43","22,39M","3,54%"
"25.08.2023","6,50","6,81","6,81","6,50","21,25M","-4,27%"
"24.08.2023","6,79","6,90","6,98","6,77","16,99M","-1,02%"
"23.08.2023","6,86","7,00","7,02","6,78","18,42M","-1,58%"
"22.08.2023","6,97","7,15","7,16","6,92","17,15M","-1,83%"
"21.08.2023","7,10","7,35","7,37","7,07","14,09M","-3,40%"
"18.08.2023","7,35","7,26","7,41","7,09","11,71M","0,14%"
"17.08.2023","7,34","7,67","7,84","7,30","9,08M","-3,55%"
"16.08.2023","7,61","7,73","7,79","7,61","6,65M","-0,91%"
"15.08.2023","7,68","7,47","7,87","7,18","20,76M","-0,52%"
"14.08.2023","7,72","7,90","7,90","7,70","11,02M","-2,28%"
"11.08.2023","7,90","7,93","8,02","7,84","4,88M","0,25%"
"10.08.2023","7,88","7,87","7,97","7,80","5,45M","1,03%"
"09.08.2023","7,80","7,95","8,04","7,70","7,42M","-1,76%"
"08.08.2023","7,94","8,06","8,09","7,93","5,12M","-1,85%"
"07.08.2023","8,09","8,13","8,25","7,84","12,60M","0,75%"
"04.08.2023","8,03","7,60","8,08","7,55","20,11M","5,66%"
"03.08.2023","7,60","7,59","7,70","7,48","7,38M","1,06%"
"02.08.2023","7,52","7,40","7,57","7,36","6,65M","0,94%"
"01.08.2023","7,45","7,40","7,62","7,33","9,08M","0,40%"
"31.07.2023","7,42","7,15","7,45","7,12","10,91M","4,65%"
"28.07.2023","7,09","6,88","7,17","6,75","12,67M","4,11%"
"27.07.2023","6,81","6,95","7,02","6,80","6,55M","-1,45%"
"26.07.2023","6,91","6,82","6,94","6,77","6,69M","1,17%"
"25.07.2023","6,83","7,00","7,03","6,77","13,13M","-1,59%"
"24.07.2023","6,94","7,22","7,22","6,81","17,22M","-3,88%"
"21.07.2023","7,22","7,11","7,27","7,08","3,45M","1,12%"
"20.07.2023","7,14","7,22","7,30","7,09","7,35M","-1,11%"
"19.07.2023","7,22","7,23","7,32","7,18","4,23M","0,00%"
"18.07.2023","7,22","7,32","7,33","7,16","5,80M","-1,77%"
"17.07.2023","7,35","7,21","7,44","7,15","9,07M","-0,68%"
"14.07.2023","7,40","7,56","7,60","7,34","7,03M","-1,73%"
"13.07.2023","7,53","7,63","7,70","7,53","3,98M","-0,26%"
"12.07.2023","7,55","7,57","7,79","7,50","11,72M","2,03%"
"11.07.2023","7,40","7,56","7,60","7,31","8,02M","-1,60%"
"10.07.2023","7,52","7,55","7,58","7,43","6,20M","0,40%"
"07.07.2023","7,49","7,34","7,55","7,30","5,36M","2,74%"
"06.07.2023","7,29","7,43","7,45","7,16","7,50M","-2,41%"
"05.07.2023","7,47","7,10","7,63","7,05","12,07M","4,92%"
"04.07.2023","7,12","7,22","7,33","7,11","6,64M","-1,11%"
"03.07.2023","7,20","7,34","7,44","7,19","5,90M","-0,96%"
"30.06.2023","7,27","7,22","7,45","7,17","7,02M","1,82%"
"29.06.2023","7,14","7,01","7,32","6,91","10,23M","2,59%"
"28.06.2023","6,96","7,19","7,24","6,90","12,65M","-3,20%"
"27.06.2023","7,19","7,31","7,45","7,13","9,99M","-0,69%"
"26.06.2023","7,24","7,46","7,49","7,15","8,91M","-2,82%"
"23.06.2023","7,45","7,62","7,69","7,43","5,79M","-1,46%"
"22.06.2023","7,56","7,60","7,63","7,39","7,10M","-1,05%"
"21.06.2023","7,64","7,80","7,81","7,60","6,00M","-1,29%"
"20.06.2023","7,74","7,48","7,77","7,43","11,20M","3,48%"
"19.06.2023","7,48","7,24","7,53","7,17","7,89M","3,46%"
"16.06.2023","7,23","7,58","7,58","7,23","11,30M","-4,11%"
"15.06.2023","7,54","7,40","7,57","7,38","7,48M","2,03%"
"14.06.2023","7,39","7,38","7,45","7,31","10,19M","0,54%"
"13.06.2023","7,35","7,30","7,42","7,22","10,94M","1,24%"
"12.06.2023","7,26","7,19","7,32","7,06","8,76M","1,68%"
"09.06.2023","7,14","7,02","7,20","7,00","9,27M","2,00%"
"07.06.2023","7,00","7,08","7,17","6,91","9,02M","-1,13%"
"06.06.2023","7,08","6,80","7,09","6,75","14,65M","4,27%"
"05.06.2023","6,79","6,71","6,81","6,64","7,97M","1,49%"
"02.06.2023","6,69","6,68","6,80","6,53","12,16M","0,60%"
"01.06.2023","6,65","6,65","6,79","6,55","14,72M","0,15%"
"31.05.2023","6,64","6,35","6,69","6,31","33,34M","6,24%"
"30.05.2023","6,25","6,44","6,45","6,21","9,45M","-2,19%"
"29.05.2023","6,39","6,45","6,47","6,36","5,71M","-0,47%"
"26.05.2023","6,42","6,54","6,54","6,37","7,52M","-0,16%"
"25.05.2023","6,43","6,58","6,69","6,41","9,29M","0,00%"
"24.05.2023","6,43","6,54","6,54","6,29","9,77M","-2,43%"
"23.05.2023","6,59","6,85","6,95","6,57","12,09M","-5,18%"
"22.05.2023","6,95","6,94","7,11","6,88","12,86M","0,58%"
"19.05.2023","6,91","6,62","7,01","6,56","22,09M","5,34%"
"18.05.2023","6,56","6,26","6,59","6,18","14,84M","4,29%"
"17.05.2023","6,29","6,26","6,37","6,19","10,50M","1,13%"
"16.05.2023","6,22","6,55","6,58","6,22","14,07M","-5,90%"
"15.05.2023","6,61","6,60","6,72","6,29","13,71M","0,76%"
"12.05.2023","6,56","6,40","6,63","6,15","15,53M","-2,38%"
"11.05.2023","6,72","6,67","6,82","6,62","6,67M","0,30%"
"10.05.2023","6,70","6,70","6,80","6,65","6,71M","0,30%"
"09.05.2023","6,68","6,65","6,74","6,56","8,95M","-0,15%"
"08.05.2023","6,69","6,77","6,78","6,42","11,49M","-1,18%"
"06.05.2023","6,77","6,77","6,77","6,77","","0,59%"
"05.05.2023","6,73","6,71","6,79","6,62","8,49M","0,90%"
"04.05.2023","6,67","6,60","6,71","6,49","8,20M","1,83%"
"03.05.2023","6,55","6,39","6,58","6,33","7,33M","2,66%"
"02.05.2023","6,38","6,51","6,54","6,31","6,29M","-2,00%"
"28.04.2023","6,51","6,30","6,55","6,22","15,47M","3,33%"
"27.04.2023","6,30","6,16","6,31","6,13","8,41M","1,94%"
"26.04.2023","6,18","6,31","6,37","6,11","10,12M","-2,37%"
"25.04.2023","6,33","6,33","6,35","6,17","5,26M","0,00%"
"24.04.2023","6,33","6,34","6,47","6,30","6,80M","-0,31%"
"20.04.2023","6,35","6,20","6,44","6,16","9,47M","2,09%"
"19.04.2023","6,22","6,29","6,37","6,16","10,39M","-2,20%"
"18.04.2023","6,36","6,28","6,43","6,18","13,16M","2,09%"
"17.04.2023","6,23","6,15","6,30","6,09","17,44M","1,47%"
"14.04.2023","6,14","6,35","6,36","6,03","30,15M","-3,00%"
"13.04.2023","6,33","6,81","6,84","6,30","18,66M","-7,05%"
"12.04.2023","6,81","6,80","6,95","6,62","14,81M","0,89%"
"11.04.2023","6,75","6,47","6,91","6,43","13,22M","5,30%"
"10.04.2023","6,41","6,35","6,48","6,30","6,77M","1,75%"
"06.04.2023","6,30","6,26","6,51","6,20","9,57M","0,48%"
"05.04.2023","6,27","6,37","6,42","6,15","11,47M","-1,57%"
"04.04.2023","6,37","6,31","6,46","6,21","11,42M","1,11%"
"03.04.2023","6,30","6,67","6,68","6,20","15,58M","-5,12%"
"31.03.2023","6,64","6,78","6,82","6,56","7,10M","-2,06%"
"30.03.2023","6,78","6,69","6,84","6,66","5,51M","2,42%"
"29.03.2023","6,62","6,65","6,72","6,49","10,53M","-0,30%"
"28.03.2023","6,64","6,61","6,74","6,43","5,88M","0,61%"
"27.03.2023","6,60","6,70","6,72","6,55","4,90M","0,00%"
"24.03.2023","6,60","6,41","6,65","6,36","8,12M","3,61%"
"23.03.2023","6,37","6,94","6,95","6,31","15,13M","-5,35%"
"22.03.2023","6,73","7,02","7,02","6,67","10,56M","-4,27%"
"21.03.2023","7,03","7,17","7,27","7,01","7,54M","-1,54%"
"20.03.2023","7,14","7,33","7,40","7,12","6,06M","-2,59%"
"17.03.2023","7,33","7,11","7,42","7,08","18,94M","3,24%"
"16.03.2023","7,10","6,93","7,63","6,90","25,49M","3,35%"
"15.03.2023","6,87","6,68","6,95","6,62","7,39M","1,33%"
"14.03.2023","6,78","6,83","6,94","6,68","6,34M","-0,73%"
"13.03.2023","6,83","6,76","6,83","6,66","7,29M","0,00%"
"10.03.2023","6,83","6,99","7,06","6,82","8,54M","-2,84%"
"09.03.2023","7,03","6,95","7,24","6,95","10,43M","0,57%"
"08.03.2023","6,99","6,93","7,13","6,79","14,77M","0,58%"
"07.03.2023","6,95","6,94","7,04","6,81","9,87M","0,43%"
"06.03.2023","6,92","6,81","6,94","6,70","10,67M","2,22%"
