"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"25.06.2013","14,07","14,46","14,55","13,99","8,82M","-0,35%"
"24.06.2013","14,12","14,24","14,44","13,88","12,10M","-3,55%"
"21.06.2013","14,64","15,32","15,37","14,64","17,38M","-4,75%"
"20.06.2013","15,37","15,16","15,51","14,84","24,93M","0,00%"
"19.06.2013","15,37","15,82","16,00","15,27","15,70M","-2,47%"
"18.06.2013","15,76","15,89","16,05","15,69","11,76M","-1,50%"
"17.06.2013","16,00","16,23","16,39","15,94","16,23M","1,07%"
"14.06.2013","15,83","16,59","16,61","15,83","6,23M","-4,70%"
"13.06.2013","16,61","15,98","16,75","15,91","9,06M","3,75%"
"12.06.2013","16,01","16,57","16,73","15,97","9,21M","-2,85%"
"11.06.2013","16,48","16,85","16,85","16,31","8,66M","-2,89%"
"10.06.2013","16,97","16,93","17,17","16,88","6,35M","0,59%"
"07.06.2013","16,87","17,09","17,28","16,83","12,58M","-2,77%"
"06.06.2013","17,35","17,51","17,51","17,19","7,64M","0,12%"
"05.06.2013","17,33","18,09","18,09","17,28","10,19M","-4,36%"
"04.06.2013","18,12","18,31","18,37","17,95","6,64M","-0,49%"
"03.06.2013","18,21","18,24","18,39","18,05","8,84M","0,28%"
"31.05.2013","18,16","18,14","18,53","17,97","12,57M","1,28%"
"29.05.2013","17,93","18,03","18,22","17,90","7,93M","-0,99%"
"28.05.2013","18,11","17,98","18,33","17,92","9,93M","1,97%"
"27.05.2013","17,76","17,84","17,98","17,76","1,96M","-0,73%"
"24.05.2013","17,89","17,86","18,05","17,66","11,27M","-0,06%"
"23.05.2013","17,90","17,73","17,90","17,54","7,77M","-0,78%"
"22.05.2013","18,04","18,56","18,60","17,86","9,33M","-2,75%"
"21.05.2013","18,55","18,49","18,65","18,19","4,42M","0,22%"
"20.05.2013","18,51","18,22","18,53","17,94","2,64M","1,42%"
"17.05.2013","18,25","18,09","18,46","18,08","7,30M","1,33%"
"16.05.2013","18,01","18,06","18,39","17,89","7,04M","-0,50%"
"15.05.2013","18,10","17,94","18,13","17,77","5,54M","0,56%"
"14.05.2013","18,00","18,17","18,19","17,74","6,26M","0,28%"
"13.05.2013","17,95","18,15","18,30","17,91","7,14M","-2,34%"
"10.05.2013","18,38","18,25","18,52","18,07","4,75M","-0,49%"
"09.05.2013","18,47","18,48","18,76","18,34","7,11M","0,22%"
"08.05.2013","18,43","18,83","18,95","18,34","6,45M","-1,71%"
"07.05.2013","18,75","18,56","18,82","18,41","7,05M","0,81%"
"06.05.2013","18,60","18,28","18,60","18,13","9,82M","2,25%"
"03.05.2013","18,19","18,57","18,79","18,19","6,09M","-1,30%"
"02.05.2013","18,43","18,19","18,65","18,08","9,25M","0,38%"
"30.04.2013","18,36","18,19","18,41","17,91","13,22M","1,60%"
"29.04.2013","18,07","17,91","18,37","17,83","19,79M","6,17%"
"26.04.2013","17,02","16,78","17,17","16,74","6,90M","0,83%"
"25.04.2013","16,88","17,15","17,23","16,84","17,02M","-0,94%"
"24.04.2013","17,04","16,54","17,19","16,48","16,33M","2,65%"
"23.04.2013","16,60","16,13","16,88","16,00","12,08M","2,53%"
"22.04.2013","16,19","15,78","16,19","15,56","10,09M","2,53%"
"19.04.2013","15,79","15,43","15,79","15,33","9,48M","4,02%"
"18.04.2013","15,18","14,69","15,25","14,55","7,23M","4,19%"
"17.04.2013","14,57","14,76","15,08","14,42","13,39M","-3,19%"
"16.04.2013","15,05","14,95","15,21","14,85","9,92M","1,96%"
"15.04.2013","14,76","15,11","15,28","14,76","9,52M","-4,65%"
"12.04.2013","15,48","15,65","15,67","15,11","7,58M","-1,21%"
"11.04.2013","15,67","15,96","16,18","15,57","8,16M","-2,31%"
"10.04.2013","16,04","15,90","16,34","15,90","7,46M","0,94%"
"09.04.2013","15,89","15,20","15,96","15,09","9,44M","5,30%"
"08.04.2013","15,09","15,47","15,47","15,04","4,92M","-1,95%"
"05.04.2013","15,39","15,25","15,50","15,14","5,84M","0,20%"
"04.04.2013","15,36","15,63","15,78","15,28","11,27M","-1,92%"
"03.04.2013","15,66","15,31","15,66","15,28","9,44M","2,76%"
"02.04.2013","15,24","15,62","15,79","15,24","6,21M","-2,56%"
"01.04.2013","15,64","15,73","15,85","15,64","4,79M","-1,57%"
"28.03.2013","15,89","15,89","16,03","15,70","4,86M","-0,31%"
"27.03.2013","15,94","15,91","15,95","15,73","5,45M","0,00%"
"26.03.2013","15,94","16,02","16,18","15,83","4,18M","0,06%"
"25.03.2013","15,93","16,18","16,18","15,83","4,82M","-0,75%"
"22.03.2013","16,05","16,01","16,16","15,95","4,98M","0,38%"
"21.03.2013","15,99","16,21","16,27","15,99","6,73M","-1,72%"
"20.03.2013","16,27","16,48","16,48","16,15","9,52M","-1,27%"
"19.03.2013","16,48","16,60","16,78","16,18","10,39M","-0,96%"
"18.03.2013","16,64","16,50","16,80","16,32","10,33M","-0,89%"
"15.03.2013","16,79","16,37","16,79","16,20","15,04M","2,13%"
"14.03.2013","16,44","16,08","16,44","15,84","13,25M","3,14%"
"13.03.2013","15,94","15,90","16,36","15,90","11,46M","-0,25%"
"12.03.2013","15,98","16,16","16,45","15,89","9,86M","-1,42%"
"11.03.2013","16,21","15,85","16,21","15,41","9,98M","2,92%"
"08.03.2013","15,75","16,21","16,53","15,57","11,41M","-3,02%"
"07.03.2013","16,24","15,83","16,72","15,75","32,22M","4,91%"
"06.03.2013","15,48","14,81","15,60","14,63","46,32M","15,18%"
"05.03.2013","13,44","13,54","13,68","13,35","8,88M","0,15%"
"04.03.2013","13,42","13,77","14,04","13,42","10,68M","-3,10%"
"01.03.2013","13,85","13,59","13,91","13,47","10,67M","1,32%"
"28.02.2013","13,67","13,89","14,02","13,65","13,76M","-1,58%"
"27.02.2013","13,89","13,95","14,10","13,66","9,36M","0,14%"
"26.02.2013","13,87","13,91","14,03","13,68","12,12M","-1,28%"
"25.02.2013","14,05","14,34","14,34","14,02","12,14M","-1,33%"
"22.02.2013","14,24","14,43","14,52","14,01","11,61M","-0,49%"
"21.02.2013","14,31","14,45","14,63","14,15","12,82M","-2,25%"
"20.02.2013","14,64","15,12","15,12","14,55","10,79M","-2,72%"
"19.02.2013","15,05","15,07","15,19","14,98","13,85M","-0,07%"
"18.02.2013","15,06","14,81","15,06","14,72","4,85M","1,69%"
"15.02.2013","14,81","14,85","14,94","14,69","7,02M","-0,54%"
"14.02.2013","14,89","14,94","15,02","14,76","8,93M","-0,53%"
"13.02.2013","14,97","15,06","15,07","14,86","9,60M","-0,80%"
"08.02.2013","15,09","15,21","15,31","14,95","13,73M","-0,66%"
"07.02.2013","15,19","15,55","15,84","15,07","17,33M","-1,75%"
"06.02.2013","15,46","15,65","15,80","15,38","12,50M","-1,28%"
"05.02.2013","15,66","16,46","16,60","15,51","53,96M","-8,26%"
"04.02.2013","17,07","17,39","17,41","16,98","13,17M","-2,79%"
"01.02.2013","17,56","17,21","17,71","17,21","5,76M","2,09%"
