"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","46,61","46,84","47,01","46,41","3,46M","-0,72%"
"01.09.2023","46,95","46,99","47,50","46,21","7,17M","1,14%"
"31.08.2023","46,42","46,01","47,30","45,71","12,78M","1,33%"
"30.08.2023","45,81","45,97","46,13","45,44","4,71M","-0,09%"
"29.08.2023","45,85","46,83","47,06","45,64","8,52M","-1,80%"
"28.08.2023","46,69","46,41","46,80","46,20","4,80M","0,65%"
"25.08.2023","46,39","46,46","46,88","45,62","5,70M","0,72%"
"24.08.2023","46,06","45,90","46,49","45,40","4,78M","0,46%"
"23.08.2023","45,85","44,79","46,18","44,10","9,84M","1,66%"
"22.08.2023","45,10","44,81","45,46","44,65","5,45M","0,78%"
"21.08.2023","44,75","45,50","46,10","44,32","7,56M","-0,93%"
"18.08.2023","45,17","45,00","45,45","44,52","6,44M","-0,46%"
"17.08.2023","45,38","46,74","46,99","45,14","8,23M","-1,30%"
"16.08.2023","45,98","47,07","47,55","45,82","9,41M","-1,79%"
"15.08.2023","46,82","47,90","48,00","45,91","14,04M","-3,64%"
"14.08.2023","48,59","48,34","48,64","47,75","5,98M","0,48%"
"11.08.2023","48,36","47,78","48,65","47,67","14,74M","2,07%"
"10.08.2023","47,38","48,16","48,52","46,96","6,29M","-1,54%"
"09.08.2023","48,12","48,36","48,63","47,68","5,81M","0,54%"
"08.08.2023","47,86","47,00","47,97","46,64","5,46M","0,10%"
"07.08.2023","47,81","47,50","48,20","46,92","6,79M","0,50%"
"04.08.2023","47,57","46,90","49,06","46,90","11,76M","0,87%"
"03.08.2023","47,16","46,30","47,40","46,22","12,09M","4,22%"
"02.08.2023","45,25","45,89","45,95","44,75","8,64M","-1,20%"
"01.08.2023","45,80","45,27","46,16","44,93","6,96M","0,39%"
"31.07.2023","45,62","45,80","46,56","45,20","6,56M","1,02%"
"28.07.2023","45,16","45,36","45,89","44,70","5,65M","0,16%"
"27.07.2023","45,09","46,07","46,46","44,90","5,33M","-1,10%"
"26.07.2023","45,59","44,44","45,67","44,08","17,23M","1,40%"
"25.07.2023","44,96","46,26","46,48","44,90","12,33M","-2,62%"
"24.07.2023","46,17","45,58","46,17","45,26","7,85M","2,21%"
"21.07.2023","45,17","44,61","45,50","44,48","12,90M","2,19%"
"20.07.2023","44,20","44,40","44,54","44,05","7,17M","0,14%"
"19.07.2023","44,14","43,36","44,19","43,22","13,19M","2,22%"
"18.07.2023","43,18","43,00","43,56","42,31","12,52M","2,83%"
"17.07.2023","41,99","40,78","42,10","40,64","7,34M","1,13%"
"14.07.2023","41,52","42,73","43,05","41,18","14,45M","-3,19%"
"13.07.2023","42,89","41,60","43,40","41,60","16,34M","3,23%"
"12.07.2023","41,55","41,06","41,80","40,75","14,25M","2,09%"
"11.07.2023","40,70","39,71","41,01","39,10","13,93M","3,06%"
"10.07.2023","39,49","39,27","39,90","39,21","7,04M","0,36%"
"07.07.2023","39,35","38,10","39,71","38,10","10,61M","3,15%"
"06.07.2023","38,15","38,45","38,78","37,89","6,86M","-1,22%"
"05.07.2023","38,62","38,61","39,18","38,51","10,27M","1,52%"
"04.07.2023","38,04","37,76","38,53","37,75","9,20M","1,66%"
"03.07.2023","37,42","37,45","38,66","37,40","14,34M","0,92%"
"30.06.2023","37,08","36,50","37,74","36,50","11,74M","2,18%"
"29.06.2023","36,29","36,20","36,50","35,96","5,30M","0,42%"
"28.06.2023","36,14","35,76","36,52","35,63","6,86M","0,95%"
"27.06.2023","35,80","37,00","37,05","35,15","19,61M","-3,35%"
"26.06.2023","37,04","38,19","38,55","37,04","12,59M","-3,06%"
"23.06.2023","38,21","37,96","38,27","37,23","9,88M","-0,23%"
"22.06.2023","38,30","38,01","38,37","37,43","11,48M","-0,96%"
"21.06.2023","38,67","36,15","38,77","36,05","21,05M","6,94%"
"20.06.2023","36,16","35,95","36,22","35,05","8,72M","0,28%"
"19.06.2023","36,06","36,34","36,45","35,69","6,15M","-0,58%"
"16.06.2023","36,27","35,56","36,37","35,16","13,55M","1,88%"
"15.06.2023","35,60","35,40","35,75","35,17","6,59M","0,56%"
"14.06.2023","35,40","34,49","35,40","34,27","15,74M","3,09%"
"13.06.2023","34,34","33,61","34,43","33,41","13,91M","3,62%"
"12.06.2023","33,14","34,40","34,40","32,91","18,67M","-3,89%"
"09.06.2023","34,48","34,97","35,20","34,26","12,14M","-0,89%"
"07.06.2023","34,79","34,60","35,13","34,28","21,78M","1,49%"
"06.06.2023","34,28","34,96","34,96","34,02","21,94M","-3,03%"
"05.06.2023","35,35","35,91","35,92","34,69","7,53M","0,08%"
"02.06.2023","35,32","34,90","35,51","34,83","11,50M","3,37%"
"01.06.2023","34,17","34,29","34,54","33,68","14,35M","-0,06%"
"31.05.2023","34,19","33,55","34,27","33,35","15,10M","0,18%"
"30.05.2023","34,13","35,15","35,41","33,58","20,31M","-2,82%"
"29.05.2023","35,12","35,27","35,54","35,05","8,94M","-0,65%"
"26.05.2023","35,35","36,09","36,34","35,18","8,85M","-0,79%"
"25.05.2023","35,63","36,25","36,34","35,26","34,43M","-0,89%"
"24.05.2023","35,95","36,21","36,80","35,83","11,96M","-0,58%"
"23.05.2023","36,16","36,40","36,75","36,02","8,99M","-0,08%"
"22.05.2023","36,19","36,98","37,32","35,98","10,03M","-2,11%"
"19.05.2023","36,97","36,98","37,34","36,57","14,31M","1,71%"
"18.05.2023","36,35","36,41","36,49","35,61","11,10M","-0,41%"
"17.05.2023","36,50","34,89","36,50","34,79","17,07M","5,80%"
"16.05.2023","34,50","34,58","35,09","34,29","7,87M","0,09%"
"15.05.2023","34,47","34,61","34,97","34,41","4,96M","-0,09%"
"12.05.2023","34,50","34,62","35,14","34,30","6,28M","-0,92%"
"11.05.2023","34,82","34,44","35,06","33,94","10,57M","0,49%"
