"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","96,50","96,79","97,36","96,30","16,13K","-0,30%"
"02.09.2023","96,79","96,79","96,79","96,79","","0,02%"
"01.09.2023","96,77","97,80","97,80","96,30","19,02K","-1,96%"
"31.08.2023","98,70","97,89","99,49","97,29","14,46K","-0,56%"
"30.08.2023","99,26","96,36","99,84","96,21","33,31K","3,19%"
"29.08.2023","96,19","96,54","97,29","96,05","27,53K","-0,38%"
"28.08.2023","96,56","96,50","96,90","96,02","15,53K","-0,35%"
"25.08.2023","96,90","96,41","96,95","95,70","16,90K","0,27%"
"24.08.2023","96,64","96,02","96,71","96,00","18,45K","0,67%"
"23.08.2023","96,00","97,31","97,99","95,79","22,67K","-1,48%"
"22.08.2023","97,44","97,51","98,00","97,29","19,08K","-0,34%"
"21.08.2023","97,77","97,82","98,00","97,01","32,78K","-0,26%"
"18.08.2023","98,02","95,61","98,03","95,60","20,75K","2,63%"
"17.08.2023","95,51","95,62","96,94","95,34","16,89K","-0,12%"
"16.08.2023","95,62","95,62","95,81","95,00","18,67K","-0,21%"
"15.08.2023","95,82","95,68","96,50","95,25","19,91K","0,14%"
"14.08.2023","95,69","95,26","95,97","95,19","15,91K","0,48%"
"11.08.2023","95,23","94,99","95,69","94,69","15,96K","0,35%"
"10.08.2023","94,90","95,45","96,00","94,62","24,72K","-0,58%"
"09.08.2023","95,45","96,19","96,27","95,10","16,79K","-0,88%"
"08.08.2023","96,30","95,59","96,30","95,00","14,41K","1,17%"
"07.08.2023","95,19","95,72","96,40","95,00","22,39K","-0,55%"
"04.08.2023","95,72","95,81","97,00","95,06","15,87K","-0,04%"
"03.08.2023","95,76","95,90","96,90","95,50","16,79K","-0,21%"
"02.08.2023","95,96","97,20","97,22","95,11","19,59K","-0,47%"
"01.08.2023","96,41","93,16","98,10","92,08","73,10K","2,56%"
"31.07.2023","94,00","93,44","94,31","93,27","29,59K","1,08%"
"28.07.2023","93,00","94,64","95,50","92,90","39,89K","-1,74%"
"27.07.2023","94,65","95,00","95,50","94,30","14,81K","-0,37%"
"26.07.2023","95,00","95,23","95,49","94,41","19,77K","-0,31%"
"25.07.2023","95,30","95,85","96,05","93,50","26,58K","-0,56%"
"24.07.2023","95,84","94,50","96,01","94,30","27,80K","1,38%"
"21.07.2023","94,54","94,03","94,60","93,76","17,05K","0,69%"
"20.07.2023","93,89","94,55","94,98","93,63","18,50K","-1,15%"
"19.07.2023","94,98","95,54","96,00","93,50","24,53K","-1,06%"
"18.07.2023","96,00","94,77","96,00","94,61","23,14K","1,53%"
"17.07.2023","94,55","94,52","95,35","94,50","25,71K","0,05%"
"14.07.2023","94,50","94,45","94,95","93,80","20,94K","0,37%"
"13.07.2023","94,15","94,19","94,61","93,45","12,02K","-0,04%"
"12.07.2023","94,19","93,57","94,49","93,02","17,00K","0,66%"
"11.07.2023","93,57","93,05","94,00","93,05","12,05K","0,59%"
"10.07.2023","93,02","93,90","94,00","93,02","17,57K","-0,94%"
"07.07.2023","93,90","93,00","93,90","93,00","19,02K","0,50%"
"06.07.2023","93,43","92,25","93,72","92,10","18,25K","1,28%"
"05.07.2023","92,25","92,48","92,48","92,09","15,61K","0,40%"
"04.07.2023","91,88","91,07","92,96","90,97","26,53K","1,00%"
"03.07.2023","90,97","91,07","91,80","90,65","21,88K","-0,79%"
"30.06.2023","91,69","93,10","93,87","90,23","43,14K","-1,47%"
"29.06.2023","93,06","92,99","93,21","91,99","16,29K","0,08%"
"28.06.2023","92,99","94,00","94,35","92,08","23,69K","-1,07%"
"27.06.2023","94,00","93,23","94,09","92,80","19,17K","0,82%"
"26.06.2023","93,24","93,98","94,39","92,15","22,13K","-0,73%"
"23.06.2023","93,93","94,50","94,80","93,22","17,59K","-0,60%"
"22.06.2023","94,50","94,79","94,88","93,64","15,21K","-0,32%"
"21.06.2023","94,80","94,59","94,85","93,54","22,04K","0,22%"
"20.06.2023","94,59","94,40","94,79","94,00","20,03K","0,20%"
"19.06.2023","94,40","94,00","94,78","93,32","18,95K","0,43%"
"16.06.2023","94,00","93,70","94,80","93,39","18,02K","0,32%"
"15.06.2023","93,70","92,47","93,70","91,80","27,54K","1,30%"
"14.06.2023","92,50","91,99","92,50","91,20","19,54K","0,61%"
"13.06.2023","91,94","91,55","92,29","91,38","19,67K","0,24%"
"12.06.2023","91,72","91,82","92,44","91,01","18,21K","-0,07%"
"09.06.2023","91,78","91,75","92,58","91,51","16,01K","0,03%"
"07.06.2023","91,75","91,64","92,77","91,00","21,63K","0,12%"
"06.06.2023","91,64","92,00","93,44","91,15","17,89K","-0,14%"
"05.06.2023","91,77","90,50","92,67","90,11","20,29K","1,02%"
"02.06.2023","90,84","89,30","91,02","88,96","22,90K","2,11%"
"01.06.2023","88,96","89,90","90,65","88,28","30,57K","-1,92%"
"31.05.2023","90,70","90,56","92,80","89,71","38,22K","0,17%"
"30.05.2023","90,55","90,44","90,70","89,70","22,74K","-0,17%"
"29.05.2023","90,70","90,13","90,80","88,51","25,58K","1,00%"
"26.05.2023","89,80","90,18","90,86","89,60","15,01K","-0,14%"
"25.05.2023","89,93","90,76","91,79","89,52","26,26K","-0,93%"
"24.05.2023","90,77","90,16","93,00","90,03","23,27K","0,84%"
"23.05.2023","90,01","90,00","94,00","90,00","22,36K","0,01%"
"22.05.2023","90,00","88,00","90,99","87,70","42,01K","2,52%"
"19.05.2023","87,79","87,44","87,95","86,50","26,65K","0,40%"
"18.05.2023","87,44","87,99","88,30","87,00","27,69K","-0,79%"
"17.05.2023","88,14","87,35","88,30","87,31","18,01K","1,02%"
"16.05.2023","87,25","87,00","88,40","86,85","25,53K","0,40%"
"15.05.2023","86,90","86,70","87,99","86,70","23,38K","0,67%"
"12.05.2023","86,32","88,00","88,80","85,96","24,53K","-1,70%"
"11.05.2023","87,81","87,70","88,39","86,81","15,24K","0,58%"
"10.05.2023","87,30","86,71","88,00","85,40","21,89K","0,67%"
"09.05.2023","86,72","86,35","87,50","85,50","24,23K","0,49%"
"08.05.2023","86,30","84,87","86,34","84,87","23,77K","1,68%"
"06.05.2023","84,87","84,87","84,87","84,87","","0,00%"
"05.05.2023","84,87","83,94","85,47","83,07","21,09K","0,58%"
"04.05.2023","84,38","84,03","85,11","83,48","24,74K","0,72%"
"03.05.2023","83,78","85,03","85,87","83,61","31,88K","-0,24%"
"02.05.2023","83,98","84,22","87,00","83,98","27,74K","-1,28%"
"28.04.2023","85,07","83,27","85,20","83,12","21,45K","2,48%"
"27.04.2023","83,01","83,85","84,24","83,00","27,81K","-1,10%"
"26.04.2023","83,93","84,68","84,99","83,20","26,92K","-0,89%"
"25.04.2023","84,68","84,72","85,75","84,35","22,85K","0,39%"
