"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","7,57","7,70","7,77","7,49","7,83M","-1,69%"
"02.09.2023","7,70","7,70","7,70","7,70","","0,00%"
"01.09.2023","7,70","7,59","7,94","7,53","24,69M","2,80%"
"31.08.2023","7,49","7,88","7,88","7,39","20,14M","-5,43%"
"30.08.2023","7,92","8,02","8,09","7,85","9,62M","-1,49%"
"29.08.2023","8,04","8,13","8,18","7,88","9,30M","-0,62%"
"28.08.2023","8,09","8,15","8,24","7,87","13,48M","-0,74%"
"25.08.2023","8,15","8,44","8,53","8,08","14,68M","-3,89%"
"24.08.2023","8,48","8,82","8,82","8,43","9,60M","-3,96%"
"23.08.2023","8,83","8,81","8,86","8,62","7,79M","0,34%"
"22.08.2023","8,80","8,70","9,02","8,62","14,69M","2,09%"
"21.08.2023","8,62","8,85","8,86","8,51","11,30M","-2,82%"
"18.08.2023","8,87","8,64","8,99","8,56","16,04M","1,95%"
"17.08.2023","8,70","8,82","8,92","8,49","13,63M","-0,91%"
"16.08.2023","8,78","9,05","9,23","8,72","15,19M","-2,55%"
"15.08.2023","9,01","9,19","9,31","8,93","26,24M","-1,96%"
"14.08.2023","9,19","9,30","9,61","9,14","15,61M","-0,65%"
"11.08.2023","9,25","9,95","10,12","9,18","22,21M","-7,31%"
"10.08.2023","9,98","10,44","10,49","9,73","48,95M","-7,68%"
"09.08.2023","10,81","11,19","11,24","10,78","6,70M","-3,91%"
"08.08.2023","11,25","11,07","11,37","10,78","4,56M","0,72%"
"07.08.2023","11,17","11,35","11,36","11,11","6,61M","-1,67%"
"04.08.2023","11,36","11,11","11,68","11,11","7,04M","1,07%"
"03.08.2023","11,24","11,65","11,80","11,20","8,36M","-1,58%"
"02.08.2023","11,42","11,36","11,57","11,33","6,07M","-0,17%"
"01.08.2023","11,44","11,19","11,55","11,05","8,11M","1,78%"
"31.07.2023","11,24","11,19","11,39","11,11","7,49M","1,35%"
"28.07.2023","11,09","11,34","11,34","10,95","8,56M","-1,16%"
"27.07.2023","11,22","11,39","11,54","11,17","7,25M","-0,71%"
"26.07.2023","11,30","11,27","11,38","11,02","7,46M","0,09%"
"25.07.2023","11,29","11,53","11,71","11,22","9,45M","0,44%"
"24.07.2023","11,24","11,11","11,27","10,85","7,34M","2,27%"
"21.07.2023","10,99","10,63","10,99","10,58","8,23M","3,88%"
"20.07.2023","10,58","10,64","10,72","10,47","7,35M","0,38%"
"19.07.2023","10,54","10,75","10,75","10,35","10,50M","-2,23%"
"18.07.2023","10,78","10,78","10,99","10,70","5,19M","-0,55%"
"17.07.2023","10,84","10,65","10,90","10,59","7,51M","1,12%"
"14.07.2023","10,72","10,81","10,89","10,50","16,40M","-2,10%"
"13.07.2023","10,95","11,20","11,38","10,89","14,32M","-2,23%"
"12.07.2023","11,20","11,68","11,78","11,11","10,19M","-2,95%"
"11.07.2023","11,54","11,62","11,65","11,26","9,28M","-1,54%"
"10.07.2023","11,72","12,00","12,03","11,59","10,66M","-2,50%"
"07.07.2023","12,02","12,01","12,36","11,93","9,16M","0,50%"
"06.07.2023","11,96","12,14","12,15","11,89","8,03M","-2,53%"
"05.07.2023","12,27","12,02","12,37","11,93","7,33M","1,91%"
"04.07.2023","12,04","11,96","12,20","11,73","4,20M","-0,25%"
"03.07.2023","12,07","12,11","12,22","11,86","6,96M","0,58%"
"30.06.2023","12,00","12,33","12,50","11,99","15,78M","-1,48%"
"29.06.2023","12,18","11,85","12,26","11,79","6,30M","2,53%"
"28.06.2023","11,88","11,82","12,21","11,68","10,80M","0,85%"
"27.06.2023","11,78","12,27","12,48","11,53","17,71M","-0,08%"
"26.06.2023","11,79","12,00","12,03","11,54","8,56M","-2,00%"
"23.06.2023","12,03","12,04","12,23","11,94","7,17M","0,67%"
