"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","11,64","11,67","11,70","11,59","188,60K","0,00%"
"02.09.2023","11,64","11,64","11,64","11,64","","0,09%"
"01.09.2023","11,63","11,45","11,63","11,41","218,50K","1,66%"
"31.08.2023","11,44","11,57","11,58","11,44","284,20K","-1,55%"
"30.08.2023","11,62","11,64","11,68","11,54","265,60K","-0,17%"
"29.08.2023","11,64","11,62","11,67","11,59","209,30K","0,52%"
"28.08.2023","11,58","11,61","11,61","11,47","167,80K","-0,17%"
"25.08.2023","11,60","11,62","11,66","11,59","138,50K","-0,17%"
"24.08.2023","11,62","11,53","11,63","11,50","167,30K","0,87%"
"23.08.2023","11,52","11,49","11,52","11,43","142,50K","-0,09%"
"22.08.2023","11,53","11,53","11,53","11,43","159,30K","0,00%"
"21.08.2023","11,53","11,63","11,63","11,47","206,60K","-0,77%"
"18.08.2023","11,62","11,54","11,67","11,50","127,30K","0,69%"
"17.08.2023","11,54","11,54","11,54","11,42","146,50K","0,35%"
"16.08.2023","11,50","11,53","11,54","11,40","250,60K","-0,35%"
"15.08.2023","11,54","11,60","11,64","11,46","241,20K","-0,69%"
"14.08.2023","11,62","11,59","11,64","11,55","149,80K","0,26%"
"11.08.2023","11,59","11,63","11,71","11,52","243,90K","-0,34%"
"10.08.2023","11,63","11,62","11,74","11,60","185,20K","0,09%"
"09.08.2023","11,62","11,81","11,87","11,61","313,80K","-1,53%"
"08.08.2023","11,80","11,98","11,98","11,76","349,40K","-3,20%"
"07.08.2023","12,19","12,23","12,34","12,14","422,70K","-0,33%"
"04.08.2023","12,23","12,20","12,37","12,18","258,10K","0,41%"
"03.08.2023","12,18","12,13","12,28","12,13","322,20K","0,91%"
"02.08.2023","12,07","12,05","12,10","12,00","128,60K","0,17%"
"01.08.2023","12,05","12,03","12,08","11,97","208,90K","-0,17%"
"31.07.2023","12,07","12,10","12,12","12,03","178,60K","-0,08%"
"28.07.2023","12,08","12,06","12,10","12,04","84,30K","0,58%"
"27.07.2023","12,01","12,09","12,15","12,01","107,50K","-0,58%"
"26.07.2023","12,08","12,09","12,15","12,01","135,70K","0,00%"
"25.07.2023","12,08","12,22","12,23","12,02","246,90K","-0,74%"
"24.07.2023","12,17","12,20","12,30","12,17","103,40K","-0,33%"
"21.07.2023","12,21","12,07","12,28","12,07","96,60K","1,16%"
"20.07.2023","12,07","12,08","12,11","12,00","145,00K","0,08%"
"19.07.2023","12,06","12,11","12,12","12,01","111,90K","-0,25%"
"18.07.2023","12,09","12,14","12,15","12,04","103,20K","-0,33%"
"17.07.2023","12,13","12,11","12,13","12,02","109,00K","0,17%"
"14.07.2023","12,11","12,15","12,15","12,01","143,00K","0,08%"
"13.07.2023","12,10","12,08","12,16","12,03","145,60K","0,08%"
"12.07.2023","12,09","12,20","12,22","12,05","135,70K","-0,49%"
"11.07.2023","12,15","12,28","12,28","12,01","210,30K","-1,06%"
"10.07.2023","12,28","12,45","12,45","12,20","166,30K","-1,37%"
"07.07.2023","12,45","12,34","12,46","12,32","74,30K","0,89%"
"06.07.2023","12,34","12,40","12,40","12,27","121,50K","-0,24%"
"05.07.2023","12,37","12,43","12,44","12,30","147,80K","-0,48%"
"04.07.2023","12,43","12,57","12,57","12,36","121,20K","-0,24%"
"03.07.2023","12,46","12,59","12,60","12,43","162,70K","-1,03%"
"30.06.2023","12,59","12,45","12,64","12,43","107,90K","1,29%"
"29.06.2023","12,43","12,45","12,50","12,30","130,50K","-0,08%"
"28.06.2023","12,44","12,47","12,54","12,38","91,60K","-0,24%"
"27.06.2023","12,47","12,60","12,97","12,38","129,00K","-1,19%"
"26.06.2023","12,62","12,67","12,69","12,55","74,80K","-0,32%"
"23.06.2023","12,66","12,58","12,73","12,51","119,20K","1,04%"
"22.06.2023","12,53","12,59","12,59","12,45","98,10K","-0,48%"
"21.06.2023","12,59","12,60","12,61","12,51","71,80K","-0,16%"
"20.06.2023","12,61","12,56","12,65","12,48","72,20K","0,40%"
"19.06.2023","12,56","12,46","12,69","12,40","107,30K","0,80%"
"16.06.2023","12,46","12,62","12,65","12,42","121,60K","-1,27%"
"15.06.2023","12,62","12,70","12,72","12,61","69,20K","-0,55%"
"14.06.2023","12,69","12,47","12,70","12,47","66,80K","1,76%"
"13.06.2023","12,47","12,70","12,73","12,45","83,40K","-1,19%"
"12.06.2023","12,62","12,61","12,71","12,60","83,30K","0,16%"
"09.06.2023","12,60","12,50","12,64","12,47","78,70K","0,88%"
"07.06.2023","12,49","12,43","12,58","12,00","104,30K","0,40%"
"06.06.2023","12,44","12,22","12,48","12,20","118,20K","1,80%"
"05.06.2023","12,22","12,32","12,35","12,12","122,80K","-0,41%"
"02.06.2023","12,27","12,42","12,46","12,27","113,00K","-0,81%"
"01.06.2023","12,37","12,39","12,43","12,23","83,00K","-0,24%"
"31.05.2023","12,40","12,48","12,51","12,37","66,40K","-0,80%"
"30.05.2023","12,50","12,59","12,64","12,46","74,20K","-0,71%"
"29.05.2023","12,59","12,46","12,67","12,46","98,00K","0,88%"
"26.05.2023","12,48","12,46","12,63","12,46","74,90K","0,48%"
"25.05.2023","12,42","12,41","12,57","12,39","75,20K","0,08%"
