"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.03.2021","23,35","23,09","23,43","22,42","5,73M","1,18%"
"16.03.2021","23,08","23,16","23,58","22,22","5,13M","0,86%"
"15.03.2021","22,88","21,57","23,06","21,25","5,81M","8,69%"
"12.03.2021","21,05","19,75","21,59","19,74","5,42M","5,60%"
"11.03.2021","19,94","20,22","20,46","19,52","2,58M","-1,25%"
"10.03.2021","20,19","21,38","21,60","19,98","4,37M","-4,48%"
"09.03.2021","21,14","19,22","21,14","18,99","4,21M","10,60%"
"08.03.2021","19,11","19,46","20,15","18,52","2,85M","-2,81%"
"05.03.2021","19,66","19,32","20,15","19,13","3,52M","1,94%"
"04.03.2021","19,29","18,45","19,34","18,29","3,04M","4,52%"
"03.03.2021","18,45","17,95","18,93","17,63","4,48M","3,20%"
"02.03.2021","17,88","17,72","18,15","16,89","3,01M","0,00%"
"01.03.2021","17,88","18,26","18,47","17,43","2,70M","0,42%"
"26.02.2021","17,81","18,45","18,65","17,35","3,56M","-2,72%"
"25.02.2021","18,30","19,00","19,74","18,14","3,17M","-3,37%"
"24.02.2021","18,94","19,45","19,87","18,89","1,85M","-1,61%"
"23.02.2021","19,25","19,41","19,59","18,60","2,54M","1,18%"
"22.02.2021","19,03","18,75","20,19","18,38","4,52M","-1,74%"
"19.02.2021","19,36","19,21","19,73","18,56","4,10M","1,08%"
"18.02.2021","19,16","20,49","20,63","18,96","5,88M","-6,11%"
"17.02.2021","20,41","18,03","20,48","17,98","10,24M","14,83%"
"12.02.2021","17,77","16,70","17,91","16,36","3,92M","6,16%"
"11.02.2021","16,74","16,54","17,25","16,45","2,59M","2,23%"
"10.02.2021","16,37","16,66","16,87","16,32","1,19M","-1,91%"
"09.02.2021","16,69","16,46","17,18","16,21","2,60M","1,48%"
"08.02.2021","16,45","16,65","16,88","16,29","1,79M","-1,02%"
"05.02.2021","16,62","16,65","16,99","16,28","2,68M","0,74%"
"04.02.2021","16,50","16,75","16,93","16,09","1,67M","-0,57%"
"03.02.2021","16,59","17,35","17,41","16,59","2,23M","-3,02%"
"02.02.2021","17,10","16,77","17,38","16,77","3,05M","2,88%"
"01.02.2021","16,63","16,52","17,05","16,32","3,22M","2,37%"
"29.01.2021","16,24","15,80","16,50","15,59","7,16M","2,42%"
"28.01.2021","15,86","15,89","16,13","15,48","2,91M","0,24%"
"27.01.2021","15,82","16,40","16,52","15,68","3,78M","-5,12%"
"26.01.2021","16,67","17,02","17,50","16,32","2,67M","-2,09%"
"22.01.2021","17,03","16,52","17,26","16,15","3,28M","1,57%"
"21.01.2021","16,77","17,27","17,42","16,58","3,13M","-2,72%"
"20.01.2021","17,24","18,08","18,33","16,93","5,29M","-3,26%"
"19.01.2021","17,82","16,69","17,82","16,41","8,83M","7,95%"
"18.01.2021","16,50","16,30","16,76","16,13","2,45M","1,50%"
"15.01.2021","16,26","16,47","16,55","15,90","2,02M","-2,20%"
"14.01.2021","16,63","16,91","16,95","16,27","2,10M","-0,84%"
"13.01.2021","16,77","16,59","16,96","16,13","7,20M","5,18%"
"12.01.2021","15,94","15,46","16,22","15,36","3,89M","4,94%"
"11.01.2021","15,19","15,00","15,85","14,73","3,01M","0,19%"
"08.01.2021","15,16","15,43","15,69","14,60","4,86M","-1,70%"
"07.01.2021","15,43","16,68","17,54","15,02","15,11M","-5,84%"
"06.01.2021","16,38","14,96","16,65","14,86","7,88M","10,99%"
"05.01.2021","14,76","14,52","14,94","14,12","1,87M","1,16%"
"04.01.2021","14,59","14,70","15,14","14,40","2,13M","0,39%"
"30.12.2020","14,54","14,72","14,81","14,39","1,17M","-0,96%"
"29.12.2020","14,68","14,59","15,00","14,58","1,10M","0,77%"
"28.12.2020","14,56","14,40","15,24","14,16","3,72M","1,84%"
"23.12.2020","14,30","14,54","14,93","14,09","3,37M","-1,17%"
"22.12.2020","14,47","13,94","14,97","13,94","3,67M","5,47%"
"21.12.2020","13,72","13,46","14,24","13,35","2,20M","-2,73%"
"18.12.2020","14,10","14,39","14,79","14,09","2,70M","-1,76%"
"17.12.2020","14,36","14,30","15,10","13,99","5,20M","1,26%"
"16.12.2020","14,18","14,82","15,34","13,89","5,20M","-4,49%"
"15.12.2020","14,84","15,98","16,31","14,56","9,02M","-4,06%"
"14.12.2020","15,47","16,22","16,35","15,19","10,06M","-2,19%"
"11.12.2020","15,82","13,48","16,22","13,29","15,55M","14,61%"
"10.12.2020","13,80","15,55","15,80","13,80","6,35M","-9,69%"
"09.12.2020","15,29","16,51","17,08","14,95","8,39M","-9,70%"
"08.12.2020","16,93","15,95","17,24","15,10","9,15M","5,68%"
"07.12.2020","16,02","18,11","18,22","16,02","10,91M","-10,95%"
"04.12.2020","17,99","15,41","18,01","15,38","12,03M","18,98%"
"03.12.2020","15,12","16,01","16,19","14,86","7,77M","-4,56%"
"02.12.2020","15,84","14,07","15,84","13,73","8,38M","18,94%"
"01.12.2020","13,32","13,58","14,33","12,86","6,27M","-0,91%"
"30.11.2020","13,44","12,62","13,58","12,61","6,49M","8,81%"
"27.11.2020","12,35","11,39","12,49","11,35","3,67M","8,93%"
"26.11.2020","11,34","10,81","11,56","10,55","2,52M","4,49%"
"25.11.2020","10,85","10,08","11,04","9,96","3,55M","7,63%"
"24.11.2020","10,08","9,77","10,36","9,60","2,17M","3,37%"
"23.11.2020","9,75","9,74","10,16","9,48","2,69M","0,97%"
