"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","2,47","2,49","2,49","2,45","72,36K","-0,40%"
"02.09.2023","2,48","2,48","2,48","2,48","","0,00%"
"01.09.2023","2,48","2,51","2,53","2,48","86,01K","-1,20%"
"31.08.2023","2,51","2,57","2,58","2,50","100,04K","-2,33%"
"30.08.2023","2,57","2,60","2,60","2,55","49,02K","-1,15%"
"29.08.2023","2,60","2,59","2,61","2,56","54,17K","-0,38%"
"28.08.2023","2,61","2,65","2,67","2,59","51,92K","-1,51%"
"25.08.2023","2,65","2,68","2,69","2,65","58,74K","-1,12%"
"24.08.2023","2,68","2,66","2,70","2,66","58,29K","0,37%"
"23.08.2023","2,67","2,68","2,68","2,66","63,51K","-0,37%"
"22.08.2023","2,68","2,68","2,70","2,66","88,56K","0,00%"
"21.08.2023","2,68","2,72","2,73","2,66","57,38K","-1,11%"
"18.08.2023","2,71","2,67","2,71","2,65","70,28K","1,12%"
"17.08.2023","2,68","2,72","2,72","2,68","75,08K","-0,74%"
"16.08.2023","2,70","2,69","2,74","2,69","76,81K","0,37%"
"15.08.2023","2,69","2,81","2,83","2,65","85,47K","-3,58%"
"14.08.2023","2,79","2,68","2,85","2,68","130,56K","4,49%"
"11.08.2023","2,67","2,64","2,68","2,62","87,79K","2,30%"
"10.08.2023","2,61","2,63","2,64","2,55","159,51K","-0,38%"
"09.08.2023","2,62","2,85","2,87","2,61","172,02K","-8,07%"
"08.08.2023","2,85","2,96","2,97","2,83","129,38K","-4,04%"
"07.08.2023","2,97","2,98","3,00","2,95","90,13K","-1,00%"
"04.08.2023","3,00","3,01","3,03","2,97","203,63K","-0,99%"
"03.08.2023","3,03","3,09","3,10","3,01","126,04K","-1,62%"
"02.08.2023","3,08","3,09","3,13","3,08","81,34K","-0,96%"
"01.08.2023","3,11","3,17","3,20","3,09","128,40K","-2,81%"
"31.07.2023","3,20","3,36","3,36","3,12","255,18K","-4,76%"
"28.07.2023","3,36","3,40","3,41","3,35","82,59K","-1,18%"
"27.07.2023","3,40","3,40","3,43","3,40","136,39K","-0,87%"
"26.07.2023","3,43","3,50","3,52","3,43","86,88K","-1,72%"
"25.07.2023","3,49","3,50","3,52","3,48","61,10K","-0,57%"
"24.07.2023","3,51","3,51","3,53","3,50","52,91K","0,29%"
"21.07.2023","3,50","3,52","3,54","3,49","56,55K","-0,85%"
"20.07.2023","3,53","3,54","3,55","3,48","45,56K","-0,28%"
"19.07.2023","3,54","3,52","3,56","3,48","85,36K","0,57%"
"18.07.2023","3,52","3,59","3,64","3,50","125,85K","-1,68%"
"17.07.2023","3,58","3,64","3,67","3,55","88,07K","-1,65%"
"14.07.2023","3,64","3,66","3,68","3,60","54,56K","-0,55%"
"13.07.2023","3,66","3,67","3,70","3,65","40,34K","0,00%"
"12.07.2023","3,66","3,69","3,74","3,59","78,62K","-1,08%"
"11.07.2023","3,70","3,75","3,76","3,68","59,27K","-1,33%"
"10.07.2023","3,75","3,84","3,85","3,75","96,00K","-3,60%"
"07.07.2023","3,89","3,89","3,90","3,84","41,60K","0,00%"
"06.07.2023","3,89","3,88","3,90","3,86","41,04K","0,00%"
"05.07.2023","3,89","3,87","3,91","3,87","74,27K","0,78%"
"04.07.2023","3,86","3,77","3,87","3,76","87,89K","2,66%"
"03.07.2023","3,76","3,77","3,78","3,73","64,78K","-0,53%"
"30.06.2023","3,78","3,76","3,80","3,72","63,50K","1,07%"
"29.06.2023","3,74","3,70","3,74","3,70","51,76K","1,08%"
"28.06.2023","3,70","3,74","3,75","3,68","45,56K","-0,54%"
"27.06.2023","3,72","3,74","3,77","3,70","59,92K","-0,53%"
"26.06.2023","3,74","3,77","3,79","3,68","82,97K","-0,80%"
"23.06.2023","3,77","3,83","3,83","3,75","69,86K","-1,57%"
"22.06.2023","3,83","3,88","3,88","3,82","46,16K","-0,52%"
"21.06.2023","3,85","3,88","3,89","3,84","55,78K","-0,52%"
"20.06.2023","3,87","3,86","3,90","3,83","55,61K","0,26%"
"19.06.2023","3,86","3,89","3,91","3,85","85,08K","-0,77%"
"16.06.2023","3,89","3,90","3,92","3,86","37,49K","-0,26%"
"15.06.2023","3,90","3,85","3,92","3,83","65,73K","1,30%"
"14.06.2023","3,85","3,91","3,94","3,82","83,18K","-1,53%"
"13.06.2023","3,91","3,97","3,99","3,90","51,16K","-1,01%"
"12.06.2023","3,95","3,93","4,05","3,93","61,03K","0,51%"
"09.06.2023","3,93","4,02","4,05","3,87","116,12K","-2,00%"
"07.06.2023","4,01","4,06","4,08","4,00","60,90K","-1,23%"
"06.06.2023","4,06","4,09","4,10","4,02","58,35K","-0,25%"
"05.06.2023","4,07","4,04","4,08","4,00","73,89K","0,99%"
"02.06.2023","4,03","4,00","4,04","3,96","49,35K","0,50%"
"01.06.2023","4,01","4,00","4,07","3,95","83,32K","-1,47%"
"31.05.2023","4,07","4,06","4,09","4,02","37,01K","0,25%"
"30.05.2023","4,06","4,10","4,11","4,00","55,92K","-0,98%"
"29.05.2023","4,10","4,10","4,14","4,08","53,44K","0,00%"
"26.05.2023","4,10","4,11","4,13","4,08","42,41K","0,00%"
"25.05.2023","4,10","4,04","4,13","4,04","39,21K","1,23%"
"24.05.2023","4,05","4,15","4,19","4,04","46,44K","-2,41%"
"23.05.2023","4,15","4,19","4,22","4,01","57,28K","-0,48%"
"22.05.2023","4,17","4,16","4,24","4,15","85,11K","0,24%"
"19.05.2023","4,16","4,03","4,27","4,03","126,56K","3,48%"
"18.05.2023","4,02","3,84","4,04","3,83","94,89K","4,69%"
"17.05.2023","3,84","3,82","3,88","3,76","101,59K","1,59%"
"16.05.2023","3,78","3,67","3,83","3,65","129,90K","4,13%"
"15.05.2023","3,63","3,53","3,67","3,50","146,46K","4,01%"
"12.05.2023","3,49","3,52","3,52","3,49","74,25K","-0,29%"
"11.05.2023","3,50","3,54","3,55","3,50","62,74K","-0,85%"
