"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.09.2023","9,39","9,40","9,42","9,37","133,51K","0,11%"
"02.09.2023","9,38","9,38","9,38","9,38","","0,32%"
"01.09.2023","9,35","9,43","9,54","9,33","450,77K","-3,01%"
"31.08.2023","9,64","9,61","9,69","9,60","161,68K","0,31%"
"30.08.2023","9,61","9,54","9,62","9,52","120,78K","0,73%"
"29.08.2023","9,54","9,54","9,56","9,50","159,24K","0,21%"
"28.08.2023","9,52","9,52","9,60","9,49","157,77K","0,00%"
"25.08.2023","9,52","9,48","9,52","9,46","129,31K","0,42%"
"24.08.2023","9,48","9,52","9,53","9,46","127,45K","-0,11%"
"23.08.2023","9,49","9,49","9,57","9,46","172,98K","0,00%"
"22.08.2023","9,49","9,46","9,54","9,46","169,07K","0,32%"
"21.08.2023","9,46","9,46","9,49","9,44","188,93K","0,00%"
"18.08.2023","9,46","9,44","9,48","9,42","190,26K","0,53%"
"17.08.2023","9,41","9,41","9,49","9,39","186,32K","0,11%"
"16.08.2023","9,40","9,43","9,48","9,37","203,70K","-0,32%"
"15.08.2023","9,43","9,39","9,45","9,38","168,71K","0,43%"
"14.08.2023","9,39","9,33","9,39","9,29","244,08K","0,75%"
"11.08.2023","9,32","9,30","9,32","9,26","114,66K","0,43%"
"10.08.2023","9,28","9,33","9,33","9,28","128,73K","-0,22%"
"09.08.2023","9,30","9,30","9,33","9,29","99,41K","0,00%"
"08.08.2023","9,30","9,32","9,34","9,27","160,32K","-0,21%"
"07.08.2023","9,32","9,33","9,35","9,30","175,94K","0,11%"
"04.08.2023","9,31","9,29","9,31","9,26","148,33K","0,65%"
"03.08.2023","9,25","9,25","9,27","9,21","162,19K","0,22%"
"02.08.2023","9,23","9,23","9,24","9,19","150,61K","0,33%"
"01.08.2023","9,20","9,23","9,27","9,19","192,81K","-1,18%"
"31.07.2023","9,31","9,32","9,35","9,29","241,29K","0,00%"
"28.07.2023","9,31","9,30","9,32","9,28","167,20K","0,11%"
"27.07.2023","9,30","9,25","9,32","9,25","162,66K","0,43%"
"26.07.2023","9,26","9,34","9,38","9,23","368,53K","-0,86%"
"25.07.2023","9,34","9,34","9,38","9,30","181,72K","0,00%"
"24.07.2023","9,34","9,35","9,35","9,30","181,71K","-0,11%"
"21.07.2023","9,35","9,30","9,35","9,21","144,45K","0,54%"
"20.07.2023","9,30","9,30","9,34","9,25","142,11K","0,54%"
"19.07.2023","9,25","9,32","9,34","9,25","242,68K","-0,54%"
"18.07.2023","9,30","9,35","9,36","9,30","208,13K","-0,53%"
"17.07.2023","9,35","9,32","9,40","9,31","211,47K","0,00%"
"14.07.2023","9,35","9,35","9,36","9,32","234,36K","0,11%"
"13.07.2023","9,34","9,30","9,35","9,30","175,43K","0,32%"
"12.07.2023","9,31","9,33","9,36","9,29","170,76K","-0,21%"
"11.07.2023","9,33","9,34","9,38","9,29","193,07K","-0,21%"
"10.07.2023","9,35","9,40","9,40","9,33","200,22K","-0,32%"
"07.07.2023","9,38","9,40","9,42","9,36","225,73K","-0,21%"
"06.07.2023","9,40","9,42","9,43","9,37","246,63K","-0,32%"
"05.07.2023","9,43","9,45","9,45","9,40","178,04K","-0,21%"
"04.07.2023","9,45","9,43","9,45","9,41","158,46K","0,32%"
"03.07.2023","9,42","9,44","9,46","9,40","249,54K","-1,15%"
"30.06.2023","9,53","9,54","9,54","9,49","473,37K","-0,10%"
"29.06.2023","9,54","9,54","9,56","9,52","213,36K","0,00%"
"28.06.2023","9,54","9,58","9,58","9,52","226,50K","-0,42%"
"27.06.2023","9,58","9,55","9,58","9,52","314,42K","0,31%"
"26.06.2023","9,55","9,56","9,57","9,51","191,69K","-0,10%"
"23.06.2023","9,56","9,51","9,58","9,50","241,39K","0,42%"
"22.06.2023","9,52","9,56","9,58","9,52","189,43K","-0,42%"
"21.06.2023","9,56","9,58","9,60","9,53","278,71K","-0,21%"
"20.06.2023","9,58","9,65","9,66","9,55","266,92K","-0,73%"
"19.06.2023","9,65","9,60","9,65","9,57","177,91K","0,42%"
"16.06.2023","9,61","9,57","9,61","9,52","177,71K","0,42%"
"15.06.2023","9,57","9,53","9,57","9,51","194,92K","0,42%"
"14.06.2023","9,53","9,58","9,59","9,51","173,92K","-0,52%"
"13.06.2023","9,58","9,64","9,64","9,53","208,72K","-0,52%"
"12.06.2023","9,63","9,62","9,67","9,56","251,98K","0,00%"
"09.06.2023","9,63","9,59","9,65","9,57","152,21K","0,42%"
"07.06.2023","9,59","9,61","9,66","9,55","251,60K","-0,10%"
"06.06.2023","9,60","9,63","9,66","9,55","219,92K","-0,31%"
"05.06.2023","9,63","9,79","9,80","9,55","411,73K","-1,63%"
"02.06.2023","9,79","9,81","9,82","9,73","151,45K","-0,20%"
"01.06.2023","9,81","9,82","9,82","9,74","210,81K","-1,21%"
"31.05.2023","9,93","9,93","9,94","9,88","158,22K","0,00%"
"30.05.2023","9,93","9,90","9,93","9,86","168,40K","0,30%"
"29.05.2023","9,90","9,90","9,90","9,86","144,91K","0,10%"
"26.05.2023","9,89","9,85","9,90","9,84","170,08K","0,41%"
"25.05.2023","9,85","9,87","9,91","9,80","276,80K","-0,10%"
"24.05.2023","9,86","9,90","9,90","9,85","142,81K","0,00%"
"23.05.2023","9,86","9,91","9,94","9,83","201,39K","-0,90%"
"22.05.2023","9,95","9,88","9,95","9,84","287,61K","1,02%"
"19.05.2023","9,85","9,89","9,94","9,85","282,74K","-0,30%"
"18.05.2023","9,88","9,88","9,89","9,84","124,11K","0,00%"
"17.05.2023","9,88","9,83","9,88","9,83","112,09K","0,61%"
"16.05.2023","9,82","9,87","9,88","9,80","264,22K","-0,61%"
"15.05.2023","9,88","9,87","9,88","9,83","195,29K","0,82%"
"12.05.2023","9,80","9,90","9,91","9,80","184,51K","-1,01%"
"11.05.2023","9,90","9,89","9,90","9,84","149,71K","0,10%"
"10.05.2023","9,89","9,90","9,90","9,85","149,20K","0,30%"
"09.05.2023","9,86","9,84","9,90","9,81","120,19K","0,61%"
"08.05.2023","9,80","9,87","9,95","9,80","199,27K","-0,71%"
"06.05.2023","9,87","9,87","9,87","9,87","","0,20%"
"05.05.2023","9,85","9,82","9,87","9,81","134,31K","0,31%"
"04.05.2023","9,82","9,82","9,85","9,79","105,11K","0,20%"
"03.05.2023","9,80","9,80","9,85","9,76","177,36K","0,41%"
"02.05.2023","9,76","9,82","9,85","9,74","184,44K","-1,71%"
"28.04.2023","9,93","9,91","9,95","9,81","373,82K","0,30%"
"27.04.2023","9,90","9,87","9,95","9,85","210,35K","0,20%"
"26.04.2023","9,88","9,88","9,88","9,85","163,74K","0,00%"
"25.04.2023","9,88","9,85","9,88","9,83","227,27K","0,30%"
"24.04.2023","9,85","9,88","9,90","9,84","202,01K","-0,30%"
"20.04.2023","9,88","9,86","9,89","9,84","128,89K","0,71%"
"19.04.2023","9,81","9,88","9,88","9,80","128,69K","-0,71%"
"18.04.2023","9,88","9,88","9,90","9,83","157,16K","0,20%"
"17.04.2023","9,86","9,80","9,88","9,76","190,28K","0,72%"
"14.04.2023","9,79","9,78","9,80","9,76","106,61K","0,10%"
"13.04.2023","9,78","9,80","9,80","9,76","116,08K","0,20%"
"12.04.2023","9,76","9,81","9,82","9,76","152,98K","-0,41%"
"11.04.2023","9,80","9,78","9,80","9,76","104,87K","0,41%"
"10.04.2023","9,76","9,78","9,81","9,70","175,81K","-0,20%"
"06.04.2023","9,78","9,74","9,81","9,70","164,64K","0,41%"
"05.04.2023","9,74","9,77","9,80","9,66","168,17K","0,72%"
"04.04.2023","9,67","9,71","9,85","9,66","223,14K","-0,41%"
"03.04.2023","9,71","9,70","9,72","9,47","417,89K","-1,42%"
"31.03.2023","9,85","9,86","9,88","9,84","136,13K","-0,10%"
"30.03.2023","9,86","9,89","9,89","9,82","100,72K","-0,30%"
"29.03.2023","9,89","9,88","9,91","9,85","128,97K","0,10%"
"28.03.2023","9,88","9,86","9,91","9,73","112,87K","0,10%"
"27.03.2023","9,87","9,84","9,88","9,82","240,05K","0,30%"
"24.03.2023","9,84","9,82","9,85","9,80","113,37K","0,31%"
"23.03.2023","9,81","9,78","9,85","9,72","166,42K","0,31%"
"22.03.2023","9,78","9,76","9,81","9,71","143,18K","0,10%"
"21.03.2023","9,77","9,85","9,88","9,52","196,93K","-0,81%"
"20.03.2023","9,85","9,78","9,85","9,71","136,22K","0,72%"
"17.03.2023","9,78","9,79","9,81","9,72","99,75K","0,10%"
"16.03.2023","9,77","9,72","9,80","9,70","91,42K","0,62%"
"15.03.2023","9,71","9,79","9,80","9,71","115,89K","-0,51%"
"14.03.2023","9,76","9,82","9,83","9,73","143,70K","-0,71%"
"13.03.2023","9,83","9,78","9,83","9,74","81,61K","0,51%"
"10.03.2023","9,78","9,75","9,81","9,72","93,63K","0,72%"
"09.03.2023","9,71","9,77","9,83","9,71","115,78K","-0,72%"
"08.03.2023","9,78","9,83","9,85","9,76","133,55K","-0,61%"
"07.03.2023","9,84","9,84","9,85","9,76","161,05K","0,31%"
"06.03.2023","9,81","9,84","9,86","9,81","100,44K","-0,10%"
"03.03.2023","9,82","9,82","9,84","9,77","136,85K","0,00%"
"02.03.2023","9,82","9,80","9,91","9,78","187,28K","0,41%"
"01.03.2023","9,78","9,80","9,86","9,74","263,86K","-1,71%"
"28.02.2023","9,95","9,97","9,97","9,90","180,05K","0,10%"
"27.02.2023","9,94","9,93","9,97","9,92","134,58K","0,10%"
"24.02.2023","9,93","9,91","9,97","9,90","95,87K","0,20%"
"23.02.2023","9,91","9,90","9,92","9,86","111,19K","0,10%"
"22.02.2023","9,90","9,89","9,92","9,86","101,84K","0,20%"
"17.02.2023","9,88","9,89","9,90","9,86","97,03K","0,20%"
"16.02.2023","9,86","9,80","9,89","9,77","94,52K","0,61%"
